Target_genes	TCF7L2|Average	SRX094470|293	SRX097074|CD34_Hematopoietic_stem_cells	SRX097075|CD34_Hematopoietic_stem_cells	SRX094469|HCT_116	SRX5486437|HCT_116	SRX5486438|HCT_116	SRX5486439|HCT_116	SRX748421|HCT_116	SRX748422|HCT_116	SRX748423|HCT_116	SRX748424|HCT_116	SRX748427|HCT_116	SRX748428|HCT_116	SRX748429|HCT_116	SRX748430|HCT_116	SRX100941|HeLa	SRX150704|HeLa	SRX094468|Hep_G2	SRX097091|K-562	SRX101163|K-562	SRX367192|LNCAP	SRX100943|MCF-7	SRX250094|MDA-MB-453	SRX250095|MDA-MB-453	SRX100942|PANC-1	SRX097098|U-937	STRING
RPL15	107.961538	170	180	0	533	145	198	210	0	0	0	0	0	0	0	0	0	607	0	0	0	157	0	0	213	394	0	0
CISD1	107.846154	0	0	0	772	0	133	146	0	0	0	0	0	0	0	0	0	515	0	0	0	210	0	133	328	567	0	0
OGT	107.807692	142	0	0	815	0	0	0	0	0	0	0	0	0	0	0	0	920	0	0	0	294	0	0	202	430	0	0
ZNF790	107.730769	215	284	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	270	543	842	0	0
HNRNPH2	107.730769	0	0	0	584	0	0	0	0	0	0	0	0	0	0	0	112	828	0	0	157	146	0	0	432	542	0	0
TM9SF2	107.653846	0	0	0	673	97	267	147	0	0	0	0	0	0	0	0	0	852	0	0	0	201	0	0	247	315	0	0
P3H4	107.653846	294	0	0	597	152	132	262	82	0	0	0	131	0	0	0	0	608	0	0	0	236	0	0	0	305	0	0
FKBP10	107.653846	294	0	0	597	152	132	262	82	0	0	0	131	0	0	0	0	608	0	0	0	236	0	0	0	305	0	0
TTI2	107.538462	252	0	0	954	89	140	0	0	0	0	0	0	0	0	0	0	635	0	0	0	350	0	0	174	202	0	0
TTC14	107.538462	0	0	114	302	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	100	0	459	1511	122	0	0
EIF3E	107.307692	110	0	0	664	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	474	148	0	548	336	0	0
PACSIN2	107.269231	0	225	330	659	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	399	467	282	0	0
GOLGA8N	107.153846	0	0	0	730	134	108	165	0	0	0	0	0	0	0	0	0	661	0	0	0	156	158	0	171	171	332	0
COPS8	107.153846	0	0	0	690	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	206	1400	314	0	0
PRSS23	107.115385	992	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	824	0	0	0	0	204	0	263	235	0	0
ZNF614	107.038462	365	192	186	0	0	0	0	0	0	0	0	0	0	0	0	0	648	0	0	0	0	209	186	728	269	0	0
ENPP2	106.807692	0	1174	1302	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0
CLUAP1	106.807692	0	0	0	1188	0	0	116	0	0	0	0	0	0	0	0	0	184	0	0	0	129	0	129	454	577	0	0
NUP42	106.730769	0	0	0	674	0	0	82	0	0	0	0	0	0	0	0	0	533	0	0	0	150	0	176	557	603	0	0
VPS33B	106.692308	211	0	0	281	131	0	160	0	0	0	0	0	0	0	0	0	1394	0	0	0	0	204	0	196	197	0	0
ZNF346	106.653846	0	354	506	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	1318	0	169	0
RBBP5	106.461538	109	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	626	0	0	0	264	0	191	868	234	0	0
POLDIP3	106.346154	0	324	314	244	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	370	1190	169	0	0
PRDM2	106.307692	0	0	0	990	134	0	195	0	0	0	0	0	0	0	0	0	336	0	0	0	209	0	0	192	708	0	0
LTV1	106.153846	0	333	400	206	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	318	1104	179	0	0
BCLAF1	106.153846	86	113	150	302	132	207	181	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	138	1093	178	0	0
RTRAF	106.115385	0	0	0	568	223	0	216	0	0	0	0	0	0	0	0	0	500	0	0	0	189	0	156	703	204	0	0
WDR11	106.000000	0	0	0	565	106	66	172	0	0	0	0	0	0	0	0	0	279	0	0	0	300	0	215	731	322	0	0
HAX1	106.000000	94	0	0	437	106	158	153	0	0	0	0	0	0	0	0	0	703	0	0	0	169	0	0	726	210	0	0
FAM227B	106.000000	0	67	0	546	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	309	1090	193	0	0
DTWD1	106.000000	0	67	0	546	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	0	0	309	1090	193	0	0
CHAF1A	105.961538	0	342	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	1447	0	0	0
TRIB3	105.923077	0	0	0	1076	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	187	710	0	256	223	0	0
BRI3	105.807692	0	0	0	344	761	1094	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP53INP2	105.730769	0	0	0	900	126	258	283	0	0	0	0	0	0	0	0	0	489	0	0	0	0	0	0	422	271	0	0
SPRED2	105.730769	0	0	0	740	0	182	0	0	0	0	0	0	0	0	0	0	423	0	0	0	428	0	0	348	628	0	0
MAPKAPK5	105.730769	0	178	176	232	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	427	1482	0	0	0
UBE2D2	105.692308	0	150	174	562	115	194	118	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	211	704	258	0	0
LGMN	105.538462	0	0	0	909	0	193	145	0	0	0	0	0	0	0	0	0	440	0	0	0	144	174	0	573	166	0	0
STRA8	105.461538	0	0	0	1283	222	354	382	0	0	0	0	0	0	0	0	0	0	0	0	0	362	139	0	0	0	0	0
UBE2D3	105.346154	0	221	200	244	0	0	0	0	0	0	0	0	0	0	0	0	424	0	0	0	0	0	0	1572	78	0	0
AKIRIN2	105.153846	0	0	0	729	0	99	0	0	0	0	0	0	0	0	0	0	691	0	0	0	206	0	0	446	563	0	0
CCNL1	104.961538	0	0	0	821	0	0	0	0	0	0	0	0	0	0	0	128	942	0	0	0	141	0	0	557	140	0	0
CASTOR1	104.923077	0	0	0	863	141	331	201	0	0	0	0	0	0	0	0	0	234	0	0	0	161	216	0	147	434	0	0
MLLT10	104.769231	177	0	0	777	0	0	0	0	0	0	0	0	0	0	0	0	754	0	0	0	151	158	0	418	289	0	0
TXNRD2	104.692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1450	0	1272	0	0	0
MAPKAPK3	104.692308	89	193	334	423	0	0	0	0	0	0	0	0	0	0	0	0	914	0	0	0	106	452	81	130	0	0	0
CISH	104.692308	89	193	334	423	0	0	0	0	0	0	0	0	0	0	0	0	914	0	0	0	106	452	81	130	0	0	0
BANK1	104.538462	0	0	0	1190	216	176	196	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	585	0	0
PSMD3	104.307692	0	0	0	335	0	0	94	0	0	0	0	0	0	0	0	0	360	0	0	0	196	0	265	918	544	0	0
FGGY	104.153846	0	0	0	369	429	402	437	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	128	626	172	0	0
LGR6	104.115385	0	0	0	1139	122	0	187	0	0	0	0	0	0	0	0	0	473	128	0	0	312	0	71	275	0	0	0
COPB2	104.038462	0	387	542	305	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	238	900	230	0	0
NDC80	103.961538	0	0	0	867	0	146	0	0	0	0	0	0	0	0	0	0	878	0	0	0	0	147	0	265	400	0	0
METTL4	103.961538	0	0	0	867	0	146	0	0	0	0	0	0	0	0	0	0	878	0	0	0	0	147	0	265	400	0	0
ING4	103.961538	0	0	0	693	176	246	515	0	0	0	0	0	0	0	0	0	416	0	0	0	313	0	0	182	162	0	0
SAMD13	103.923077	0	0	0	393	226	257	210	0	0	0	0	0	0	0	0	0	601	0	0	0	0	94	171	421	329	0	0
TAF1B	103.846154	730	0	0	626	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	147	0	0	0	377	661	0	0
FASTKD2	103.846154	0	354	679	119	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	1422	0	0	0
CASS4	103.769231	0	230	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	1363	0	0	0	0	0	0	0
RPS15A	103.653846	0	246	351	335	0	0	0	0	0	0	0	0	0	0	0	0	345	0	0	0	138	0	135	1006	139	0	0
NAAA	103.653846	0	0	0	505	104	100	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	324	489	666	210	0	0
ZSCAN22	103.615385	96	0	0	611	0	193	221	0	0	0	0	0	0	0	0	0	432	0	0	0	72	0	197	473	399	0	0
GOLGA5	103.615385	0	0	0	758	0	0	88	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	253	978	185	0	0
USPL1	103.576923	0	0	78	775	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	265	0	252	814	157	0	0
UFL1	103.576923	0	0	0	1276	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	314	0	0	366	394	0	0
HMGB1	103.576923	0	0	78	775	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	265	0	252	814	157	0	0
TIMM23	103.500000	0	116	0	472	0	0	0	0	0	0	0	0	0	0	0	0	332	0	0	0	129	0	140	1263	239	0	0
NUDT4B	103.500000	102	0	0	515	151	243	241	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	132	625	372	0	0
ZNF793	103.346154	742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	186	1350	0	0
UTP14A	103.230769	141	0	0	653	0	0	0	0	0	0	0	0	0	0	0	0	865	0	0	0	146	0	0	322	557	0	0
MTRNR2L10	103.153846	0	398	500	0	0	0	0	0	0	0	0	183	205	212	239	0	0	0	0	0	206	267	0	0	244	228	0
GTF2H4	103.076923	133	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	524	0	0	0	259	0	0	713	390	0	0
AHCTF1	103.000000	0	197	280	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451	1591	0	0	0
EIF5A2	102.961538	0	0	0	582	0	0	102	0	0	0	0	0	0	0	0	123	1208	0	0	0	0	253	0	0	409	0	0
BCAR3	102.961538	0	399	423	404	165	295	201	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	268	0	338	0
NUDT4	102.769231	0	0	0	608	247	260	372	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	521	379	0	0
ECHS1	102.769231	0	547	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	1210	0	96	0
RTKN2	102.653846	0	0	0	445	150	224	223	0	0	0	0	0	0	0	0	0	423	0	0	0	0	0	120	522	562	0	0
GAN	102.576923	0	0	0	1025	181	173	140	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	724	150	0	0
XRCC4	102.423077	0	0	0	679	0	0	116	0	0	0	0	0	0	0	0	0	550	0	0	0	313	160	0	419	426	0	0
TMEM167A	102.423077	0	0	0	679	0	0	116	0	0	0	0	0	0	0	0	0	550	0	0	0	313	160	0	419	426	0	0
BRIX1	102.384615	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	140	0	191	1085	171	0	0
METTL18	102.269231	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	804	0	0	0	262	0	0	818	219	0	0
DDX41	102.269231	94	0	0	394	0	139	0	0	0	0	0	0	0	0	0	0	299	0	0	0	97	174	118	1192	152	0	0
C1orf112	102.269231	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	804	0	0	0	262	0	0	818	219	0	0
KIF1B	102.230769	0	0	0	183	125	141	124	136	0	0	0	0	0	0	0	0	116	0	0	0	1563	0	0	270	0	0	0
ANKRD28	102.230769	264	0	139	235	0	0	0	0	0	0	0	97	0	0	0	282	606	0	0	0	238	0	0	207	590	0	0
TEDC1	102.192308	0	0	0	603	114	0	0	0	0	0	0	0	0	0	0	0	552	0	0	0	0	322	0	395	671	0	0
ISM2	102.192308	863	106	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	0	0	651	0	0
GAR1	102.192308	0	0	0	674	93	147	198	0	0	0	0	0	0	0	0	0	382	0	0	0	297	160	0	491	215	0	0
ARMCX5-GPRASP2	102.153846	110	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	0	173	0	0	180	793	0	0
ARMCX5	102.153846	110	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0	642	0	0	0	173	0	0	180	793	0	0
RPL34	102.115385	292	0	0	402	245	190	0	0	0	0	0	0	0	0	0	0	643	0	0	0	139	196	0	281	267	0	0
ISY1-RAB43	102.115385	0	0	0	391	121	211	0	0	0	0	0	0	0	0	0	0	417	0	0	0	192	0	159	863	301	0	0
ISY1	102.115385	0	0	0	391	121	211	0	0	0	0	0	0	0	0	0	0	417	0	0	0	192	0	159	863	301	0	0
WDR74	102.038462	105	0	102	455	0	0	0	0	0	0	0	0	0	0	98	0	859	0	0	0	0	0	168	507	359	0	0
RPL27A	102.038462	0	479	607	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343	1128	0	0	0
SRCAP	101.884615	0	383	435	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	1028	0	129	0
LOC730183	101.884615	0	383	435	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	1028	0	129	0
ETNK1	101.692308	95	0	0	445	0	0	0	0	0	0	0	0	0	0	0	142	1072	0	0	0	0	168	0	300	422	0	0
ZMPSTE24	101.538462	0	0	0	1055	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	226	0	102	587	264	0	0
NDUFV1	101.423077	0	0	0	604	0	0	180	0	0	0	0	0	0	0	0	0	261	0	0	0	0	297	142	914	239	0	0
CRTAP	101.423077	0	0	0	754	168	253	218	0	0	0	0	0	0	0	0	0	230	0	0	0	0	0	281	576	157	0	0
TMEM30A	101.307692	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	107	181	161	1325	173	0	0
GRIK2	101.192308	92	0	0	724	133	129	227	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	296	603	0	0
EXD1	101.192308	0	0	0	387	105	230	0	0	0	0	0	0	0	0	0	0	615	0	0	0	140	0	165	559	430	0	0
CHP1	101.192308	0	0	0	387	105	230	0	0	0	0	0	0	0	0	0	0	615	0	0	0	140	0	165	559	430	0	0
ATP5PF	101.192308	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	159	541	0	300	611	0	335	0	341	0	0	0
HOXB8	101.153846	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2426	0	0
TRIM33	101.076923	0	0	0	776	198	327	252	0	0	0	0	0	0	0	0	0	242	0	0	0	0	319	0	370	144	0	0
RWDD1	101.000000	139	0	0	547	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	167	0	143	861	483	0	0
ZBTB2	100.961538	0	196	298	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	1674	0	0	0
RFC5	100.961538	0	443	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	1248	0	0	0
SSNA1	100.884615	0	0	121	197	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	429	1717	0	0	0
ANAPC2	100.884615	0	0	121	197	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	429	1717	0	0	0
CDCA4	100.769231	0	0	0	1154	0	95	178	0	0	0	0	0	0	0	0	0	584	0	0	0	0	0	0	331	278	0	0
HUS1	100.730769	0	0	0	631	0	0	0	0	0	0	0	0	0	0	0	0	601	0	0	0	154	0	202	540	491	0	0
FUT10	100.692308	154	0	0	885	209	164	219	0	0	0	0	0	0	0	0	0	131	0	0	0	403	0	0	248	205	0	0
TMEM41A	100.576923	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	360	981	207	0	0
GOLGA6L9	100.500000	0	0	0	1174	150	237	213	0	0	0	0	0	0	0	0	0	314	0	0	0	264	261	0	0	0	0	0
PSMB2	100.423077	0	297	338	360	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	313	1190	0	0	0
AQP11	100.307692	0	0	0	271	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	352	384	746	638	0	0
KHDRBS3	100.269231	0	0	0	1210	0	0	241	0	0	0	0	0	0	0	0	0	564	0	0	0	329	0	0	263	0	0	0
WDPCP	100.192308	130	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0	375	176	0	398	464	0	0
MDH1	100.192308	130	0	0	529	0	0	0	0	0	0	0	0	0	0	0	0	533	0	0	0	375	176	0	398	464	0	0
UHRF2	100.153846	0	843	681	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	818	0	0	0
SLX4	100.038462	0	0	0	863	0	0	0	0	0	0	0	0	0	0	0	0	564	0	0	0	100	218	0	298	558	0	0
NCMAP	100.038462	0	0	0	978	285	229	217	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	233	381	0	0
SELENOH	99.961538	119	0	0	541	0	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	227	0	249	791	252	0	0
PRKCZ	99.846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1476	0	0	0	0	436	0	684	0	0	0
PDHB	99.846154	0	0	0	782	105	217	168	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0	204	507	218	0	0
TNFAIP8	99.807692	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	116	1213	0	0	0	0	964	0	183	0	0	0
SRGAP3	99.769231	153	0	0	604	0	150	126	0	0	0	0	0	0	0	0	0	0	0	0	0	196	298	223	844	0	0	0
OSGIN1	99.769231	0	0	0	704	224	308	255	0	0	0	0	0	0	0	0	0	247	0	0	0	443	249	0	0	164	0	0
USP15	99.538462	0	350	343	586	0	0	0	0	0	0	0	0	0	0	0	0	428	0	0	147	0	259	0	475	0	0	0
ATAT1	99.538462	242	0	0	769	160	236	113	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	87	286	467	0	0
CHMP1B	99.500000	0	86	0	301	0	0	0	0	0	0	0	0	0	0	0	0	1757	0	0	0	0	0	0	443	0	0	0
RBSN	99.346154	0	200	0	460	0	0	0	0	0	0	0	0	0	0	0	0	734	0	0	200	0	239	166	398	186	0	0
MED22	99.269231	0	459	570	393	0	0	0	0	0	0	0	0	0	0	0	0	506	0	0	0	0	0	149	504	0	0	0
BMP2K	99.192308	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	1564	0	0	0	107	307	0	272	0	0	0
MVB12A	99.153846	0	537	615	492	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	167	0	0	319	132	0	0
CHCHD2	99.038462	0	265	424	288	0	0	0	0	0	0	0	0	0	0	0	0	179	0	433	592	0	0	0	271	123	0	0
CCN5	98.923077	0	0	0	935	0	0	0	0	0	0	0	0	0	0	0	0	721	0	0	0	145	260	0	122	389	0	0
DIPK2A	98.884615	0	0	0	579	181	212	106	0	0	0	0	0	0	0	0	0	616	265	0	0	144	135	0	140	193	0	0
SZRD1	98.846154	0	0	0	612	110	233	216	0	0	0	0	0	0	0	0	0	775	0	0	0	230	0	0	268	126	0	0
BTG1	98.730769	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	645	0	0	0	0	394	0	1385	0	0	0
FDPS	98.692308	0	0	105	383	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	93	0	272	1269	265	0	0
SKP1	98.538462	0	102	0	475	0	101	0	0	0	0	0	0	0	0	0	0	1486	0	0	0	138	0	0	171	89	0	0
UBE2Q2	98.423077	263	0	0	1218	0	147	251	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	104	209	0	0
EIF2D	98.423077	221	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	344	1146	0	128	0
C9orf40	98.192308	0	0	0	679	127	203	245	0	0	0	0	0	0	0	0	0	624	0	0	0	131	0	0	321	223	0	0
SPTY2D1	98.076923	0	0	0	718	0	0	0	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	320	1321	0	0	0
TNPO1	97.884615	0	0	0	631	0	207	107	0	0	0	0	0	0	0	0	0	507	0	0	0	99	0	159	573	262	0	0
PARG	97.884615	0	0	0	552	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	129	1164	349	0	0
LEMD3	97.807692	0	0	0	603	0	0	133	0	0	0	0	0	0	0	0	0	332	0	0	0	263	206	164	598	244	0	0
GHITM	97.769231	0	0	0	694	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	0	190	0	150	735	319	0	0
GSTCD	97.730769	161	143	191	656	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	283	0	0	604	92	0	0
PPP1R11	97.692308	644	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	630	0	0	0	100	146	0	287	434	0	0
KLHL18	97.615385	0	0	0	1023	96	108	0	0	0	0	0	0	0	0	0	0	167	0	0	0	206	0	113	461	364	0	0
KIF9	97.615385	0	0	0	1023	96	108	0	0	0	0	0	0	0	0	0	0	167	0	0	0	206	0	113	461	364	0	0
OPA1	97.538462	0	0	0	419	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	447	1182	0	0	0
STX16	97.500000	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	159	0	295	1104	107	0	0
ARSB	97.461538	288	0	0	385	0	128	0	0	0	0	0	0	0	0	0	0	134	724	0	0	200	182	0	147	346	0	0
VCPIP1	97.423077	0	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	269	0	0	611	282	0	0
C8orf44-SGK3	97.423077	0	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	370	0	0	0	269	0	0	611	282	0	0
SERPINA1	97.307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	175	2159	0	0	0	0	0
PELI1	97.307692	351	0	0	146	0	114	148	0	0	0	0	0	0	0	0	178	669	0	0	0	118	0	0	225	581	0	0
SLC27A4	97.230769	0	0	0	855	122	81	198	0	0	0	0	0	0	0	0	0	792	0	0	0	277	0	0	203	0	0	0
SLC25A51	97.230769	0	0	0	808	0	151	110	0	0	0	0	0	0	0	0	0	199	0	0	0	102	0	242	538	378	0	0
NUDCD2	97.192308	0	0	0	548	85	117	123	0	0	0	0	0	0	0	0	0	513	0	0	0	215	78	0	411	437	0	0
NFX1	97.192308	0	100	195	251	0	0	0	0	0	0	0	0	0	0	0	0	549	0	0	0	0	0	220	1212	0	0	0
HMMR	97.192308	0	0	0	548	85	117	123	0	0	0	0	0	0	0	0	0	513	0	0	0	215	78	0	411	437	0	0
GOLGA3	97.115385	124	0	0	417	237	357	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	147	412	237	0	0
COMMD2	97.076923	0	0	163	412	0	0	0	0	0	0	0	0	0	0	0	0	737	0	0	0	264	0	115	629	204	0	0
MPND	97.038462	133	0	0	921	0	0	106	0	0	0	0	0	0	0	0	0	739	0	0	0	178	0	0	206	240	0	0
DNAJC9	97.038462	201	0	0	397	0	0	118	0	0	0	0	0	0	0	0	0	579	0	0	0	89	0	126	367	646	0	0
VIRMA	96.653846	0	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	129	0	256	1351	201	0	0
FSIP1	96.576923	0	262	289	182	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	381	1221	0	0	0
PC	96.423077	233	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	1389	166	0	0	0	0	192	342	0	0	0
LINS1	96.346154	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0	0	717	0	0	0	194	196	0	502	347	0	0
CHD8	96.346154	0	0	0	585	223	161	289	0	0	0	0	0	0	0	0	0	271	0	0	0	421	0	0	437	118	0	0
ASB7	96.346154	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0	0	717	0	0	0	194	196	0	502	347	0	0
ZBTB6	96.269231	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	1254	0	0	0	271	0	0	272	242	0	0
SSU72	96.269231	0	0	0	888	0	115	0	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	165	705	293	0	0
ARHGEF12	96.269231	0	0	0	620	0	82	116	0	0	0	0	0	0	0	0	0	308	0	0	0	167	0	210	383	617	0	0
GOLGA8R	96.115385	0	0	0	707	177	211	124	0	0	0	0	0	0	0	0	0	730	0	0	0	0	0	0	224	149	177	0
DCP1A	96.115385	109	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	371	0	0	0	156	0	255	816	334	0	0
DSTYK	95.961538	0	0	0	820	0	160	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	394	674	108	0	0
CD58	95.884615	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	1097	0	0	0	0	948	0	267	0	0	0
THADA	95.730769	0	240	293	210	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	234	1231	144	0	0
GNPNAT1	95.730769	0	0	0	347	0	144	0	0	0	0	0	0	0	0	0	0	1205	0	0	0	291	0	0	344	158	0	0
NRARP	95.692308	212	0	0	1170	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	0	213	321	0	115	0	0	0
FLVCR2	95.692308	160	0	0	673	156	227	203	0	0	0	0	0	0	0	0	0	416	0	0	0	256	0	0	195	202	0	0
TENT5B	95.500000	0	0	0	635	0	0	0	0	0	0	0	0	0	0	0	0	609	0	0	0	313	205	0	99	622	0	0
TRAPPC4	95.461538	0	0	0	840	89	147	261	0	0	0	0	0	0	0	0	0	215	0	0	0	173	0	0	334	423	0	0
RPS25	95.461538	0	0	0	840	89	147	261	0	0	0	0	0	0	0	0	0	215	0	0	0	173	0	0	334	423	0	0
PCSK5	95.307692	0	0	0	1573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	154	0	0
MPP2	95.307692	363	0	0	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0
TEDC2	95.269231	0	0	0	538	313	565	482	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	228	122	0	0
CPVL	95.192308	508	0	0	696	105	129	0	0	0	0	0	0	0	0	0	0	250	323	0	0	221	0	0	243	0	0	0
KIAA1191	95.115385	0	505	595	203	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	255	821	0	0	0
ATF3	95.115385	0	0	0	948	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	175	0	158	526	157	0	0
PARK7	95.076923	164	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	622	0	0	0	0	213	0	460	419	0	0
ARHGAP23	95.076923	0	0	112	959	0	0	0	0	0	0	0	0	0	0	0	145	1081	0	0	0	175	0	0	0	0	0	0
PFKFB2	95.000000	0	169	198	233	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	145	1531	0	0	0
PALMD	94.961538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	1820	0	0	0	0	0	0	322	0	0	0
IRF2	94.961538	139	232	147	506	193	160	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	159	343	193	0	0
