Target_genes	ATF3|Average	SRX190245|A549	SRX2207915|CS1AN	SRX2207916|CS1AN	SRX2207917|CS1AN	SRX2207918|CS1AN	SRX1759184|Dermal_fibroblast	SRX1759186|Dermal_fibroblast	SRX109484|GBM1-HAM	SRX100553|GM12878	SRX1384025|HCT_116	SRX1384026|HCT_116	SRX1384029|HCT_116	SRX190213|HCT_116	SRX100548|Hep_G2	SRX100557|hESC_H1	SRX100425|K-562	SRX150471|K-562	STRING
PPRC1	101.411765	115	0	124	0	257	0	0	0	260	174	0	0	252	204	104	234	0	0
CHTOP	101.411765	131	0	62	0	430	0	0	106	0	263	0	128	321	0	0	283	0	0
CAD	101.294118	94	0	97	0	287	0	0	0	314	0	0	150	147	0	182	451	0	0
APBA3	101.294118	0	0	84	0	333	0	0	0	315	139	0	132	193	172	0	354	0	0
VPS26B	101.176471	120	0	0	0	308	0	0	0	189	165	0	0	223	178	142	395	0	0
NCAPD3	101.176471	120	0	0	0	308	0	0	0	189	165	0	0	223	178	142	395	0	0
CCAR1	101.176471	0	0	0	0	204	0	0	0	157	129	0	0	111	0	198	921	0	0
MRPL40	101.117647	189	0	286	0	462	0	0	0	0	0	0	0	264	0	0	415	103	0
KPNA7	101.117647	0	0	0	0	191	0	0	213	0	814	0	252	249	0	0	0	0	0
HIRA	101.117647	189	0	286	0	462	0	0	0	0	0	0	0	264	0	0	415	103	0
CBX5	101.117647	334	0	212	0	263	0	0	0	92	129	0	0	363	0	0	326	0	0
TLN1	101.058824	0	0	82	0	525	0	0	127	0	407	0	151	137	0	0	289	0	0
SMG5	101.058824	151	0	63	0	573	0	0	0	226	0	0	0	262	0	133	310	0	0
CREB3	101.058824	0	0	82	0	525	0	0	127	0	407	0	151	137	0	0	289	0	0
HMOX1	101.000000	0	0	0	0	379	0	210	0	314	0	0	0	93	490	231	0	0	0
RITA1	100.941176	0	0	0	0	306	0	0	0	407	0	0	0	137	215	343	308	0	0
DDX54	100.941176	0	0	0	0	306	0	0	0	407	0	0	0	137	215	343	308	0	0
AZIN1	100.941176	0	0	206	0	572	0	0	0	0	742	0	0	196	0	0	0	0	0
SRPRB	100.882353	0	0	152	0	531	0	0	0	133	401	0	133	246	0	0	119	0	0
YLPM1	100.823529	191	0	0	0	391	0	0	0	0	159	0	238	132	0	0	603	0	0
MDC1	100.823529	124	0	0	0	168	0	0	0	0	452	155	365	221	0	0	229	0	0
TNRC6B	100.764706	188	0	0	0	234	0	0	0	0	267	0	0	222	0	0	802	0	0
SUCO	100.705882	0	0	108	0	522	0	0	0	0	564	0	123	194	0	0	201	0	0
NET1	100.705882	110	0	267	0	465	0	0	0	0	0	0	0	0	312	198	360	0	0
SLC24A1	100.529412	429	0	130	0	341	0	0	0	0	127	0	0	428	0	0	254	0	0
POLR2M	100.529412	100	0	161	0	431	0	0	112	0	501	0	0	128	0	0	276	0	0
INTS14	100.529412	429	0	130	0	341	0	0	0	0	127	0	0	428	0	0	254	0	0
SRPX2	100.470588	204	0	0	0	0	0	105	328	0	616	0	189	266	0	0	0	0	0
MTX2	100.470588	77	0	0	0	466	0	0	0	0	0	0	75	135	117	85	593	160	0
ICA1L	100.470588	0	0	105	0	517	0	0	0	97	401	0	166	115	0	307	0	0	0
XPO5	100.352941	0	0	110	0	615	0	0	0	141	176	0	0	193	158	0	313	0	0
POLH	100.352941	0	0	110	0	615	0	0	0	141	176	0	0	193	158	0	313	0	0
SS18L2	100.176471	115	0	85	0	647	0	0	0	0	330	0	0	179	0	0	347	0	0
MRPL24	100.176471	154	60	151	0	125	0	0	0	360	0	0	0	189	215	112	337	0	0
CCDC61	100.058824	0	0	0	0	232	0	0	0	423	226	0	0	126	212	0	482	0	0
BRI3	100.058824	0	0	0	0	138	0	0	0	447	0	0	0	0	279	0	837	0	0
ZBBX	100.000000	148	0	118	0	376	0	0	0	112	222	0	0	335	0	144	245	0	0
WRN	100.000000	0	0	0	0	372	0	0	0	0	207	0	185	0	0	0	936	0	0
PURG	100.000000	0	0	0	0	372	0	0	0	0	207	0	185	0	0	0	936	0	0
PNPO	99.941176	89	0	63	0	401	0	0	0	193	391	0	0	147	248	0	167	0	0
TOB1	99.882353	0	0	347	0	485	0	0	0	0	165	0	0	256	0	0	445	0	0
RAB5A	99.823529	76	0	149	0	459	0	0	0	221	113	0	0	184	0	181	314	0	0
EFHB	99.823529	76	0	149	0	459	0	0	0	221	113	0	0	184	0	181	314	0	0
RNF216	99.764706	130	0	314	0	316	0	0	0	108	190	0	0	288	0	152	198	0	0
ZNF12	99.647059	293	0	0	0	482	0	0	0	185	182	0	0	297	0	0	255	0	0
PLEKHG1	99.647059	0	0	0	0	103	0	0	437	0	709	0	198	247	0	0	0	0	0
MYL6B	99.647059	0	0	0	0	280	0	0	0	0	498	0	188	152	0	0	576	0	0
DGLUCY	99.647059	0	0	73	0	476	0	0	0	496	0	0	0	73	184	0	392	0	0
COX5A	99.470588	129	0	0	0	489	0	0	0	103	148	0	0	175	0	0	647	0	0
ANXA2	99.470588	0	0	294	0	516	0	0	0	0	199	0	0	0	0	0	682	0	0
RAP2A	99.411765	0	0	98	0	268	0	0	0	394	166	0	0	131	201	290	142	0	0
INPP5J	99.411765	0	0	172	0	99	0	0	0	0	886	0	320	213	0	0	0	0	0
USP32	99.352941	132	0	213	0	621	0	0	0	100	0	0	0	187	120	0	316	0	0
RGPD6	99.352941	0	0	236	0	623	0	0	0	0	342	0	130	266	0	0	92	0	0
HEG1	99.352941	0	0	506	0	368	0	194	0	0	482	0	139	0	0	0	0	0	0
TOPBP1	99.294118	0	0	173	0	377	0	0	0	0	320	0	252	312	0	0	254	0	0
TF	99.294118	0	0	173	0	377	0	0	0	0	320	0	252	312	0	0	254	0	0
KHK	99.294118	0	0	114	0	233	0	0	0	260	0	0	0	212	220	0	649	0	0
THAP6	99.235294	0	0	0	0	269	0	0	0	312	0	0	0	177	263	263	403	0	0
TPRA1	99.176471	0	0	0	0	380	0	0	0	189	119	0	0	163	238	155	442	0	0
PEMT	99.176471	156	146	404	0	641	0	0	0	129	0	0	0	78	0	0	132	0	0
MCM2	99.176471	0	0	0	0	380	0	0	0	189	119	0	0	163	238	155	442	0	0
INTS4	99.176471	193	0	113	0	194	0	0	0	0	306	0	389	317	0	0	174	0	0
THUMPD3	99.117647	96	0	213	0	601	0	0	0	0	284	0	0	241	0	0	250	0	0
PPP3R1	99.117647	0	0	133	0	329	0	0	0	229	188	0	0	117	155	0	534	0	0
TRIM46	98.941176	249	0	178	0	201	0	0	0	226	136	0	0	334	159	0	199	0	0
KRTCAP2	98.941176	249	0	178	0	201	0	0	0	226	136	0	0	334	159	0	199	0	0
AEBP2	98.882353	0	0	121	0	644	0	0	0	0	375	0	0	314	0	0	227	0	0
ADAT1	98.882353	0	0	101	0	244	0	0	0	0	460	0	0	271	0	0	605	0	0
INSIG1	98.823529	0	0	0	0	213	0	0	0	301	0	0	0	0	0	195	802	169	0
EIF4H	98.823529	0	0	0	0	304	0	0	0	193	94	0	0	87	220	0	573	209	0
YTHDC1	98.705882	0	0	109	0	280	0	119	0	0	558	0	128	327	0	0	157	0	0
TARBP2	98.705882	0	0	0	0	238	0	0	0	239	234	0	99	0	0	135	733	0	0
SMC3	98.705882	126	0	0	0	154	0	0	110	444	0	0	0	196	190	166	292	0	0
DDRGK1	98.588235	446	0	0	0	155	0	0	0	210	128	0	0	226	246	88	177	0	0
SCAMP4	98.529412	0	0	0	0	264	0	0	0	305	0	0	0	101	190	192	623	0	0
NUP93	98.529412	0	0	0	0	495	0	0	157	175	0	0	0	0	284	0	564	0	0
MCRS1	98.529412	284	0	0	0	223	0	0	0	219	0	0	0	245	180	147	377	0	0
ADAT3	98.529412	0	0	0	0	264	0	0	0	305	0	0	0	101	190	192	623	0	0
RGPD8	98.470588	77	0	236	0	623	0	0	0	0	342	0	130	266	0	0	0	0	0
TSPYL4	98.411765	0	0	0	0	186	0	0	0	0	566	0	185	351	0	0	385	0	0
SDCBP	98.411765	0	0	190	0	971	0	0	0	0	177	0	0	204	0	0	131	0	0
ABHD16A	98.411765	129	0	126	0	231	0	210	0	0	236	0	155	180	0	0	406	0	0
STXBP3	98.352941	0	0	267	0	681	0	0	0	0	320	0	0	242	0	0	162	0	0
STK33	98.352941	0	0	0	0	443	0	0	0	456	115	0	0	98	238	322	0	0	0
OSBP	98.352941	0	0	0	0	560	0	0	0	0	295	0	0	124	0	80	613	0	0
VAMP5	98.294118	0	0	0	0	333	0	0	0	0	665	0	206	151	0	0	316	0	0
SARS1	98.294118	0	0	0	0	294	0	0	211	0	0	0	0	203	0	0	963	0	0
HPS6	98.294118	0	0	0	0	270	0	0	0	140	210	0	225	198	119	0	509	0	0
FAM234B	98.294118	0	0	107	0	789	0	0	0	164	0	0	0	92	216	126	177	0	0
NFAT5	98.235294	208	0	534	0	392	0	0	0	0	122	0	0	239	0	0	175	0	0
CCDC30	98.176471	0	0	0	0	470	0	0	0	381	0	0	0	159	241	293	125	0	0
DCTN6	98.117647	0	0	612	0	504	0	161	0	0	188	0	0	0	0	0	203	0	0
POLI	98.058824	0	0	272	0	320	0	177	0	0	136	0	192	263	0	88	219	0	0
EEF1G	98.058824	0	0	0	0	339	0	0	0	166	204	0	173	95	233	188	269	0	0
TRMT1	98.000000	306	0	0	0	0	0	0	0	524	159	0	0	229	216	0	232	0	0
SNX5	98.000000	167	0	193	0	503	0	0	0	0	435	0	0	212	0	0	156	0	0
MGME1	98.000000	167	0	193	0	503	0	0	0	0	435	0	0	212	0	0	156	0	0
SLC25A53	97.941176	137	0	139	0	0	0	0	0	0	0	0	0	126	0	265	870	128	0
RPL3	97.882353	142	0	0	0	197	0	0	0	0	565	0	244	372	0	0	144	0	0
MCM6	97.882353	0	0	0	0	320	0	0	0	0	165	0	127	250	0	121	681	0	0
CHCHD3	97.882353	0	0	0	0	339	0	0	0	211	0	0	0	161	178	141	634	0	0
UQCRC2	97.823529	112	0	0	0	177	0	0	0	338	0	0	0	150	306	246	334	0	0
SLC10A7	97.823529	0	0	545	0	458	0	0	0	0	348	0	0	184	0	0	128	0	0
LTV1	97.823529	0	0	161	0	243	0	119	0	0	491	0	133	196	0	0	320	0	0
HTRA2	97.823529	0	0	0	0	285	0	0	0	180	0	0	0	0	164	171	863	0	0
SH3YL1	97.764706	165	0	0	0	284	0	0	0	0	287	0	0	292	171	96	367	0	0
SAMHD1	97.764706	258	0	0	0	402	0	0	0	111	157	0	0	268	203	0	263	0	0
ACP1	97.764706	165	0	0	0	284	0	0	0	0	287	0	0	292	171	96	367	0	0
MPC2	97.705882	118	92	252	0	525	0	0	0	0	252	0	0	225	0	0	197	0	0
GXYLT1	97.705882	0	0	86	0	489	0	0	0	0	192	0	215	186	0	0	493	0	0
ESYT1	97.705882	0	0	118	0	310	0	0	0	0	613	0	128	174	0	0	318	0	0
EIF5B	97.705882	125	0	255	0	362	0	0	0	0	258	0	210	207	91	0	153	0	0
DCAF6	97.705882	118	92	252	0	525	0	0	0	0	252	0	0	225	0	0	197	0	0
TVP23C	97.647059	0	0	172	0	1205	0	0	0	0	135	0	0	148	0	0	0	0	0
SPTBN1	97.647059	0	0	78	0	322	0	0	0	0	567	0	0	116	0	163	414	0	0
RBM25	97.647059	88	0	93	0	153	0	0	0	0	502	0	299	168	0	0	357	0	0
LSM11	97.647059	0	0	180	0	276	0	0	0	214	0	0	0	207	211	276	296	0	0
JMY	97.647059	0	0	85	0	221	0	0	0	247	257	0	0	109	199	0	542	0	0
ZNF425	97.588235	197	0	102	0	190	0	0	0	186	0	0	0	276	239	147	322	0	0
SMAD5	97.588235	0	0	71	0	525	0	0	0	0	0	0	0	266	163	0	634	0	0
PPME1	97.588235	102	0	0	0	209	0	0	0	0	101	0	0	177	0	235	835	0	0
PHOSPHO2	97.588235	0	0	98	0	556	0	0	0	0	294	0	171	241	0	0	299	0	0
LRPPRC	97.588235	175	0	0	0	519	0	0	0	187	0	0	0	144	230	0	404	0	0
HTATSF1	97.588235	0	0	0	0	0	0	0	0	0	159	0	0	0	169	161	1170	0	0
HNRNPDL	97.588235	0	0	438	0	388	0	0	0	202	210	0	0	0	0	158	263	0	0
ENOPH1	97.588235	0	0	438	0	388	0	0	0	202	210	0	0	0	0	158	263	0	0
CCDC173	97.588235	0	0	98	0	556	0	0	0	0	294	0	171	241	0	0	299	0	0
C2CD3	97.588235	102	0	0	0	209	0	0	0	0	101	0	0	177	0	235	835	0	0
ZNF189	97.529412	0	0	0	0	350	0	0	0	0	327	0	191	126	0	0	664	0	0
MRPL50	97.529412	0	0	0	0	350	0	0	0	0	327	0	191	126	0	0	664	0	0
TIGD1	97.411765	200	0	155	0	527	0	0	0	0	116	0	0	331	153	0	174	0	0
PEX12	97.411765	210	0	0	0	260	0	0	0	0	170	0	103	204	0	0	709	0	0
INTS1	97.411765	276	0	102	0	204	0	0	0	0	299	0	142	222	0	111	300	0	0
EIF4E2	97.411765	200	0	155	0	527	0	0	0	0	116	0	0	331	153	0	174	0	0
PGAP4	97.352941	0	0	135	0	426	0	0	0	0	520	0	0	136	0	220	218	0	0
TOM1L1	97.294118	0	0	67	0	522	0	0	0	0	444	0	358	263	0	0	0	0	0
NUP85	97.235294	212	0	0	0	237	0	0	0	0	537	72	325	213	0	0	57	0	0
KANSL1	97.235294	125	0	224	0	818	0	0	0	0	134	0	0	177	0	0	175	0	0
HIF1A	97.235294	0	0	150	0	331	0	0	0	194	193	0	0	161	0	237	387	0	0
ZSCAN30	97.058824	148	0	118	0	133	0	0	0	0	321	0	246	302	0	202	180	0	0
LPIN2	97.000000	0	0	0	0	257	0	0	0	380	0	0	0	0	129	281	602	0	0
GABPB2	97.000000	369	0	338	0	286	0	120	0	113	74	0	0	264	0	0	85	0	0
UPF2	96.823529	0	0	0	0	236	0	0	0	344	233	0	0	133	197	0	503	0	0
RIC8B	96.764706	0	0	216	0	382	0	0	0	117	168	0	0	194	142	115	311	0	0
C2orf42	96.764706	83	0	0	0	384	0	0	0	186	0	0	0	142	338	152	360	0	0
KAT8	96.705882	0	0	97	0	433	0	0	0	167	240	0	0	82	171	0	454	0	0
ZDHHC4	96.647059	0	0	181	0	413	0	0	0	0	458	0	104	160	0	0	327	0	0
TMEM19	96.647059	85	0	98	0	509	0	0	0	222	0	0	0	0	306	115	308	0	0
TMC7	96.647059	97	0	299	0	637	0	0	0	0	119	0	0	165	124	0	202	0	0
CXCL2	96.588235	0	0	308	0	614	0	125	0	0	104	0	140	137	0	0	214	0	0
PEX3	96.470588	344	0	243	0	155	0	0	0	0	87	0	0	570	0	0	241	0	0
PCNA	96.470588	102	0	125	0	436	0	0	0	0	437	0	182	198	0	0	160	0	0
ADAT2	96.470588	344	0	243	0	155	0	0	0	0	87	0	0	570	0	0	241	0	0
PGAM1	96.411765	123	0	203	0	454	0	0	0	0	0	0	0	504	208	0	147	0	0
HMGN1	96.411765	0	0	131	0	374	0	0	0	281	0	0	0	0	150	205	498	0	0
CRB1	96.411765	209	0	0	0	372	0	0	0	0	410	0	0	350	0	0	298	0	0
SENP1	96.352941	164	0	421	0	755	0	0	0	0	0	0	0	184	0	0	114	0	0
PFKM	96.352941	164	0	421	0	755	0	0	0	0	0	0	0	184	0	0	114	0	0
MRPL12	96.352941	173	0	0	0	155	0	0	0	0	558	151	198	403	0	0	0	0	0
SLC22A23	96.294118	0	0	213	0	196	0	0	502	0	0	0	0	159	0	0	567	0	0
ZNF438	96.235294	0	0	207	0	355	0	144	0	0	508	0	159	128	0	0	135	0	0
RAB8A	96.235294	0	0	93	0	243	0	0	0	143	306	0	228	219	0	0	404	0	0
KPNA2	96.235294	0	0	0	0	525	0	148	119	0	642	0	0	87	0	0	115	0	0
POFUT2	96.176471	202	0	153	0	276	0	0	0	177	166	0	0	266	0	0	395	0	0
FAM228B	96.117647	418	0	0	0	356	0	0	0	0	207	0	0	479	0	0	174	0	0
CLTC	96.117647	321	0	184	0	325	0	0	0	0	128	0	0	237	0	100	339	0	0
MINDY2	96.058824	108	0	115	0	366	0	0	0	146	208	0	0	228	0	0	462	0	0
FAM174A	96.058824	0	0	0	0	485	0	0	0	0	316	0	231	189	0	0	412	0	0
CLSTN1	96.000000	0	0	124	0	315	0	0	0	0	677	0	124	236	0	156	0	0	0
ATXN2L	96.000000	190	0	0	0	372	0	0	0	102	80	0	96	369	0	0	423	0	0
SMIM14	95.941176	101	0	111	0	265	0	212	0	0	252	0	229	246	0	0	215	0	0
RBPJ	95.941176	0	0	0	0	287	133	0	0	0	539	0	313	227	0	0	132	0	0
ABCG1	95.941176	0	0	0	0	202	0	0	261	0	326	0	218	297	0	0	327	0	0
TAP2	95.882353	0	0	191	0	322	0	0	0	0	320	0	427	197	0	0	173	0	0
ZBTB37	95.823529	107	0	98	0	244	0	0	0	0	229	0	0	196	0	0	563	192	0
ANKRD46	95.823529	0	0	243	0	250	0	0	0	0	340	0	226	324	0	0	246	0	0
AARSD1	95.823529	338	0	0	0	147	0	0	0	0	270	0	204	367	0	0	303	0	0
ZMYND12	95.764706	0	0	0	0	470	0	0	0	381	0	0	0	118	241	293	125	0	0
PPCS	95.764706	0	0	0	0	470	0	0	0	381	0	0	0	118	241	293	125	0	0
UBXN2B	95.705882	0	0	190	0	1201	0	0	0	0	0	0	0	158	0	0	78	0	0
TBPL1	95.705882	0	0	183	0	326	0	0	0	0	413	0	323	165	0	0	217	0	0
DNAJC1	95.705882	0	0	0	0	347	0	0	0	0	584	0	140	275	0	0	281	0	0
HPS3	95.647059	0	0	0	0	310	0	0	0	210	214	0	0	132	139	178	443	0	0
PPP1R11	95.588235	0	0	221	0	339	0	0	0	0	188	0	102	214	0	0	561	0	0
IGF2BP2	95.529412	0	0	0	0	200	0	120	419	0	535	0	350	0	0	0	0	0	0
CNOT2	95.529412	0	0	90	0	309	0	137	112	0	367	0	120	165	0	0	324	0	0
C11orf24	95.529412	0	0	0	0	366	0	0	0	0	531	0	200	230	0	0	297	0	0
SLC39A11	95.470588	0	0	0	0	148	0	0	0	316	171	0	0	193	201	156	438	0	0
RBSN	95.470588	97	0	180	0	784	0	0	0	0	0	0	0	367	0	0	195	0	0
TAMM41	95.411765	209	0	189	0	438	0	0	0	0	232	0	123	268	0	0	163	0	0
HLF	95.411765	0	0	0	0	316	0	0	0	0	651	0	217	91	0	0	347	0	0
CNN3	95.411765	0	0	276	0	464	0	0	267	0	410	0	0	205	0	0	0	0	0
BLOC1S2	95.411765	74	0	84	0	374	0	0	0	0	695	0	205	190	0	0	0	0	0
SDCBP2	95.352941	389	0	0	0	251	0	0	0	0	332	0	0	388	0	0	261	0	0
MAP2	95.352941	0	0	293	0	433	0	0	0	158	0	0	0	182	169	176	210	0	0
LIG3	95.352941	0	0	0	0	495	0	0	0	210	160	0	113	159	0	157	327	0	0
E2F6	95.352941	372	0	101	0	454	0	0	0	0	143	0	0	329	0	0	222	0	0
RAN	95.235294	0	0	0	0	359	0	129	0	0	314	0	354	101	0	0	362	0	0
CRBN	95.235294	339	0	207	0	430	0	0	0	0	0	0	0	318	0	0	325	0	0
TMEM65	95.058824	0	0	150	0	305	0	0	0	0	514	0	154	244	0	0	249	0	0
ETNK1	95.000000	100	0	180	0	596	0	0	0	0	278	0	0	112	0	0	349	0	0
ZCWPW1	94.823529	144	0	0	0	222	0	0	0	0	269	0	0	154	0	221	602	0	0
MRPL21	94.823529	395	0	237	0	231	0	0	0	0	0	0	0	593	0	0	156	0	0
MEPCE	94.823529	144	0	0	0	222	0	0	0	0	269	0	0	154	0	221	602	0	0
JAK2	94.823529	0	0	255	0	317	0	0	0	0	296	0	115	154	0	0	475	0	0
IGHMBP2	94.823529	395	0	237	0	231	0	0	0	0	0	0	0	593	0	0	156	0	0
APRT	94.823529	0	0	0	0	196	0	0	0	642	0	0	0	164	119	0	491	0	0
TXNDC9	94.764706	125	0	255	0	312	0	0	0	0	258	0	210	207	91	0	153	0	0
RBKS	94.764706	71	0	164	0	472	0	0	0	0	469	0	142	184	0	0	109	0	0
BABAM2	94.764706	71	0	164	0	472	0	0	0	0	469	0	142	184	0	0	109	0	0
AKAP1	94.647059	113	0	187	0	439	0	0	0	0	264	0	100	187	0	0	319	0	0
ST7L	94.588235	0	0	94	0	591	0	0	0	0	373	0	162	103	0	0	285	0	0
PRKAA1	94.588235	0	0	165	0	428	0	0	0	0	242	0	0	0	0	0	773	0	0
CAPZA1	94.588235	0	0	94	0	591	0	0	0	0	373	0	162	103	0	0	285	0	0
ATAD2B	94.529412	200	0	114	0	306	0	0	0	0	216	0	147	282	0	0	342	0	0
ZNF221	94.470588	260	0	0	0	141	0	0	0	157	0	0	0	234	194	258	362	0	0
ST3GAL2	94.470588	0	0	87	0	405	0	0	0	304	0	0	0	0	344	154	312	0	0
PAFAH1B2	94.411765	0	0	358	0	248	0	0	0	0	233	0	0	182	0	0	584	0	0
LCLAT1	94.411765	0	0	64	0	363	0	0	0	0	152	0	210	105	150	110	451	0	0
ZNF547	94.352941	0	0	149	0	200	0	103	0	0	520	0	165	249	0	0	218	0	0
TRAPPC2B	94.352941	0	0	149	0	200	0	103	0	0	520	0	165	249	0	0	218	0	0
USP49	94.294118	0	0	127	0	671	0	0	0	135	0	0	66	0	0	0	604	0	0
TMEM144	94.294118	0	0	118	0	430	0	0	0	0	449	0	119	179	0	0	308	0	0
PHF19	94.294118	0	0	260	0	428	0	0	0	0	0	0	0	227	0	0	688	0	0
DLG1	94.294118	0	0	71	0	492	0	0	0	278	0	0	0	0	230	197	335	0	0
ASB13	94.294118	0	0	0	0	237	0	0	0	0	246	0	106	0	0	0	1014	0	0
AKIRIN1	94.294118	0	0	278	0	440	0	0	0	0	329	0	0	343	0	0	213	0	0
CAPN2	94.235294	0	0	138	0	387	0	0	0	0	448	0	0	137	0	0	492	0	0
ANP32B	94.235294	0	0	277	0	273	0	0	0	0	175	0	305	138	0	0	434	0	0
TAF12	94.176471	117	0	0	0	212	0	0	0	273	0	0	0	306	195	0	498	0	0
CCNB1	94.176471	0	0	0	0	524	0	0	0	241	133	0	0	139	126	0	438	0	0
GPR3	94.000000	0	0	163	0	337	0	0	0	0	478	0	125	0	0	0	495	0	0
ROM1	93.941176	0	174	446	0	285	0	0	0	113	0	0	0	0	0	179	400	0	0
EML3	93.941176	0	174	446	0	285	0	0	0	113	0	0	0	0	0	179	400	0	0
CDK5RAP3	93.941176	0	0	302	0	770	0	0	0	0	0	0	0	327	0	0	198	0	0
ACSL3	93.941176	103	0	102	0	574	0	0	0	165	82	0	135	109	0	156	171	0	0
TUBB3	93.764706	0	0	258	0	94	0	0	0	0	556	0	240	133	0	0	313	0	0
SYNGR4	93.764706	358	0	0	0	233	0	0	0	169	184	0	107	283	0	99	161	0	0
PRNP	93.764706	0	0	106	0	312	0	0	0	0	417	0	234	409	0	0	116	0	0
SLC35A3	93.705882	224	0	225	0	783	0	0	0	0	0	0	0	234	0	0	127	0	0
PIK3C2A	93.647059	0	0	0	0	443	0	0	0	145	127	0	0	103	130	211	433	0	0
MIS18A	93.647059	148	0	0	0	446	0	0	0	112	392	0	0	263	0	0	231	0	0
THADA	93.588235	131	0	180	0	257	0	162	0	0	313	0	104	270	0	0	174	0	0
COPS7A	93.588235	0	0	0	0	508	0	0	0	211	126	0	99	148	153	188	158	0	0
CARM1	93.529412	0	0	149	0	271	0	0	0	0	175	0	67	0	0	156	772	0	0
TUT1	93.470588	495	0	135	0	224	0	0	0	0	111	0	0	439	0	0	185	0	0
SERPINB8	93.470588	0	0	118	0	259	0	266	0	0	444	0	212	290	0	0	0	0	0
RCAN2	93.470588	0	0	517	0	754	0	185	133	0	0	0	0	0	0	0	0	0	0
ZNF322	93.411765	0	0	138	0	696	0	0	0	120	0	0	0	0	170	125	339	0	0
ACAP2	93.411765	0	0	0	0	326	0	0	0	241	0	0	0	207	165	180	469	0	0
NSRP1	93.352941	135	0	0	0	186	0	120	0	0	486	0	147	236	0	0	277	0	0
CST6	93.352941	0	0	0	0	172	0	0	0	0	891	0	337	187	0	0	0	0	0
SEH1L	93.176471	0	0	0	0	366	0	0	0	290	86	0	0	0	235	0	607	0	0
PSMD3	93.176471	308	0	141	0	430	0	0	0	102	98	0	0	342	0	0	163	0	0
TCEANC	93.117647	60	0	0	0	0	0	0	0	0	0	0	0	143	392	169	649	170	0
SDHB	93.117647	0	0	138	0	327	0	0	0	0	645	0	160	133	0	0	180	0	0
CBX1	93.117647	0	0	163	0	597	0	0	147	0	79	0	0	191	188	0	218	0	0
GOPC	93.058824	0	0	0	0	401	0	0	0	255	117	0	0	229	243	0	337	0	0
GPR39	92.941176	113	0	299	0	416	0	0	0	0	439	0	107	206	0	0	0	0	0
EP400	92.941176	0	0	0	0	270	0	0	0	0	221	0	132	225	0	0	732	0	0
CDCA8	92.941176	0	0	146	0	185	0	0	0	317	128	0	191	105	133	101	274	0	0
TIMELESS	92.882353	102	0	0	0	336	0	0	0	288	0	0	0	134	161	134	424	0	0
NDRG1	92.882353	92	0	0	0	173	0	118	0	0	188	0	361	151	0	0	496	0	0
LRWD1	92.882353	0	0	0	0	210	0	0	0	262	0	0	0	212	304	0	514	77	0
KPNA4	92.882353	0	0	111	0	391	0	0	0	0	397	0	97	191	0	0	392	0	0
CCN1	92.882353	0	0	219	0	336	0	0	0	0	162	0	122	161	0	0	579	0	0
ALKBH4	92.882353	0	0	0	0	210	0	0	0	262	0	0	0	212	304	0	514	77	0
TNKS	92.823529	0	0	0	0	533	0	0	0	0	238	0	82	129	0	187	409	0	0
EIF2S1	92.823529	252	0	0	0	162	0	0	0	253	130	0	0	336	0	82	363	0	0
ATP6V1D	92.823529	252	0	0	0	162	0	0	0	253	130	0	0	336	0	82	363	0	0
ST3GAL5	92.764706	0	0	174	0	367	0	0	0	0	201	0	0	102	336	87	310	0	0
FAM162A	92.764706	110	0	139	0	362	0	0	0	0	207	0	113	278	0	0	368	0	0
CCDC58	92.764706	110	0	139	0	362	0	0	0	0	207	0	113	278	0	0	368	0	0
SLC25A19	92.705882	92	0	0	0	233	0	0	0	0	176	0	113	163	0	102	697	0	0
POLR2C	92.705882	169	0	252	0	380	0	0	0	0	179	0	151	297	0	0	148	0	0
PNKD	92.705882	0	0	0	0	413	0	0	0	176	0	0	0	83	248	179	477	0	0
MEX3C	92.705882	0	0	0	0	251	0	245	137	0	284	0	321	154	0	0	184	0	0
MTRES1	92.647059	0	0	131	0	216	0	0	0	101	161	0	200	193	0	0	573	0	0
MTRNR2L10	92.588235	442	0	0	0	0	0	0	0	0	129	293	0	199	0	266	245	0	0
CLN8	92.588235	0	0	0	0	384	0	0	0	0	497	0	181	149	111	0	252	0	0
ZNF473	92.529412	100	0	134	0	249	0	0	0	112	397	0	0	136	0	0	445	0	0
VRK3	92.529412	100	0	134	0	249	0	0	0	112	397	0	0	136	0	0	445	0	0
SLC12A6	92.529412	0	0	0	0	366	0	0	0	378	0	0	0	0	134	273	422	0	0
RABGGTA	92.529412	115	0	204	0	359	0	0	0	0	141	0	130	303	222	0	99	0	0
EFCAB14	92.529412	0	0	235	0	491	0	0	0	0	357	0	0	173	0	0	317	0	0
SLC50A1	92.470588	0	0	126	0	437	0	0	139	0	486	0	143	175	0	0	66	0	0
DYNLT1	92.411765	0	0	251	0	287	0	103	0	0	336	0	0	128	0	0	466	0	0
GSKIP	92.352941	0	0	113	0	445	0	0	0	0	284	0	198	0	0	0	530	0	0
ATG2B	92.352941	0	0	113	0	445	0	0	0	0	284	0	198	0	0	0	530	0	0
TMEM106C	92.235294	106	0	415	0	619	0	0	0	134	0	0	0	159	0	0	135	0	0
SEPTIN7	92.235294	83	0	204	0	515	0	0	0	0	408	0	0	204	0	0	154	0	0
DEDD	92.235294	85	0	262	0	650	0	0	0	0	189	0	0	145	0	0	237	0	0
