Target_genes	MYBL2|Average	SRX4680620|A-673	SRX14963950|A549	SRX14963951|A549	SRX040562|HeLa	SRX040563|HeLa	SRX10478355|Hep_G2	SRX10478356|Hep_G2	SRX190332|Hep_G2	SRX734308|HMEC	SRX3322026|K-562	SRX3322027|K-562	SRX5242427|LNCAP	SRX5242428|LNCAP	SRX5242429|LNCAP	SRX5242430|LNCAP	SRX4213900|MCF_10A	SRX4213901|MCF_10A	STRING
DPH3	88.823529	174	0	0	0	0	210	539	242	0	144	201	0	0	0	0	0	0	0
FAM133B	88.764706	499	0	0	0	0	218	332	312	0	0	148	0	0	0	0	0	0	0
DVL2	88.764706	306	0	0	0	0	164	256	236	0	0	0	0	0	0	0	303	244	0
WAPL	88.705882	302	0	0	0	0	515	554	137	0	0	0	0	0	0	0	0	0	0
PAK1IP1	88.705882	237	0	0	0	0	232	376	422	0	109	132	0	0	0	0	0	0	0
C6orf52	88.705882	237	0	0	0	0	232	376	422	0	109	132	0	0	0	0	0	0	0
VNN3	88.647059	0	0	0	0	0	320	579	608	0	0	0	0	0	0	0	0	0	0
EMC4	88.647059	354	0	0	0	0	257	448	332	0	0	116	0	0	0	0	0	0	0
RWDD1	88.588235	506	0	0	0	0	238	438	324	0	0	0	0	0	0	0	0	0	0
DDIT4	88.588235	268	0	0	0	0	0	159	137	0	0	0	0	0	0	0	386	556	0
TRAPPC6B	88.470588	236	0	0	0	0	319	536	413	0	0	0	0	0	0	0	0	0	0
NFKBIA	88.470588	322	0	0	0	0	228	358	338	0	0	0	0	0	0	0	258	0	0
HEXIM1	88.470588	622	0	0	0	0	111	306	465	0	0	0	0	0	0	0	0	0	0
SYF2	88.411765	191	0	0	0	0	155	365	156	0	367	269	0	0	0	0	0	0	0
CDKN1B	88.411765	126	0	0	0	0	413	725	126	0	0	0	0	0	0	0	0	113	0
ACTL6A	88.294118	331	0	0	0	0	188	343	192	0	172	275	0	0	0	0	0	0	0
TRUB2	88.176471	343	0	0	0	0	146	311	273	0	198	228	0	0	0	0	0	0	0
COQ4	88.176471	343	0	0	0	0	146	311	273	0	198	228	0	0	0	0	0	0	0
MDP1	88.117647	0	0	0	0	0	289	394	386	0	0	0	0	0	0	0	90	339	0
CYB5R4	87.882353	150	0	0	0	0	403	518	327	0	0	96	0	0	0	0	0	0	0
NSUN6	87.823529	222	0	0	0	0	247	354	308	0	109	146	0	0	0	0	0	107	0
MRPL39	87.823529	354	0	0	0	0	307	383	354	0	0	95	0	0	0	0	0	0	0
BOD1L1	87.823529	534	0	0	0	0	257	352	350	0	0	0	0	0	0	0	0	0	0
RABGEF1	87.705882	409	0	0	0	0	203	334	227	0	0	0	0	0	0	0	150	168	0
PRADC1	87.647059	383	0	0	0	0	299	457	351	0	0	0	0	0	0	0	0	0	0
CCT7	87.647059	383	0	0	0	0	299	457	351	0	0	0	0	0	0	0	0	0	0
EXD1	87.588235	0	0	0	0	0	243	524	289	0	176	257	0	0	0	0	0	0	0
CHP1	87.588235	0	0	0	0	0	243	524	289	0	176	257	0	0	0	0	0	0	0
GADD45B	87.529412	846	0	0	0	0	101	140	318	0	0	0	0	0	0	0	0	83	0
ST3GAL2	87.411765	1228	0	0	0	0	0	123	135	0	0	0	0	0	0	0	0	0	0
COQ5	87.352941	249	0	0	0	0	407	371	174	0	170	114	0	0	0	0	0	0	0
MYBL1	87.294118	121	0	0	0	0	385	734	133	0	0	111	0	0	0	0	0	0	0
INTS6	87.294118	586	0	0	0	0	134	236	244	0	0	0	0	0	0	0	105	179	0
RPA2	87.235294	354	0	0	0	0	217	302	173	0	144	293	0	0	0	0	0	0	0
DUS1L	87.235294	302	0	0	0	0	291	576	314	0	0	0	0	0	0	0	0	0	0
DMAP1	87.235294	281	0	0	0	0	243	390	424	0	0	145	0	0	0	0	0	0	0
MVK	87.058824	168	0	0	0	0	325	474	136	0	0	377	0	0	0	0	0	0	0
NUP54	87.000000	148	0	0	0	0	361	495	475	0	0	0	0	0	0	0	0	0	0
ZNF219	86.941176	419	0	0	0	0	210	530	319	0	0	0	0	0	0	0	0	0	0
TGIF2	86.941176	153	0	0	0	0	480	626	219	0	0	0	0	0	0	0	0	0	0
DCT	86.941176	92	0	0	0	0	0	227	774	0	226	159	0	0	0	0	0	0	0
BMS1	86.941176	285	0	0	0	0	156	311	517	0	88	121	0	0	0	0	0	0	0
APTX	86.941176	372	0	0	0	0	184	206	160	0	0	0	0	0	0	0	239	317	0
SPOP	86.764706	121	0	0	0	0	278	808	268	0	0	0	0	0	0	0	0	0	0
SPATA1	86.764706	0	0	0	0	0	238	770	389	0	0	0	0	0	0	0	78	0	0
RNF20	86.764706	150	0	0	0	0	232	665	266	0	0	162	0	0	0	0	0	0	0
ZFC3H1	86.705882	970	0	0	0	0	139	184	181	0	0	0	0	0	0	0	0	0	0
THAP2	86.705882	970	0	0	0	0	139	184	181	0	0	0	0	0	0	0	0	0	0
SMPD3	86.588235	817	0	0	0	0	166	339	150	0	0	0	0	0	0	0	0	0	0
CLN3	86.529412	0	0	0	0	0	376	501	327	0	158	109	0	0	0	0	0	0	0
C12orf73	86.470588	226	0	0	0	0	401	663	180	0	0	0	0	0	0	0	0	0	0
ATP5MF-PTCD1	86.470588	479	0	0	0	0	287	445	259	0	0	0	0	0	0	0	0	0	0
ATP5MF	86.470588	479	0	0	0	0	287	445	259	0	0	0	0	0	0	0	0	0	0
NUP50	86.411765	193	0	0	0	0	207	474	0	0	223	273	0	0	0	0	0	99	0
USP30	86.352941	230	0	0	0	0	363	493	382	0	0	0	0	0	0	0	0	0	0
CLTC	86.294118	346	0	0	0	0	250	383	403	0	0	85	0	0	0	0	0	0	0
PAN2	86.235294	211	0	0	0	0	205	530	221	0	107	192	0	0	0	0	0	0	0
MRPL12	86.235294	405	0	0	0	0	227	434	285	0	0	0	0	0	0	0	0	115	0
BOD1	86.235294	1025	0	0	0	0	90	351	0	0	0	0	0	0	0	0	0	0	0
USP54	86.117647	647	0	0	0	0	209	230	236	0	0	142	0	0	0	0	0	0	0
UBC	86.117647	591	0	0	0	0	0	173	0	0	0	0	0	0	0	0	219	481	0
SCAND1	86.058824	153	0	0	0	0	240	505	482	0	0	0	0	0	0	0	83	0	0
MRPL1	86.000000	141	0	0	0	0	174	457	559	0	0	131	0	0	0	0	0	0	0
PRPF4	85.941176	918	0	0	0	0	134	234	175	0	0	0	0	0	0	0	0	0	0
CDC26	85.941176	918	0	0	0	0	134	234	175	0	0	0	0	0	0	0	0	0	0
ZKSCAN8	85.882353	124	0	0	0	0	304	483	300	0	119	130	0	0	0	0	0	0	0
YAP1	85.882353	134	0	0	0	0	0	104	224	0	0	0	0	0	0	0	0	998	0
SUPT16H	85.823529	328	0	0	0	0	197	484	240	0	0	68	0	0	0	0	0	142	0
RFESD	85.823529	189	0	0	0	0	193	434	243	0	254	146	0	0	0	0	0	0	0
LIMA1	85.823529	325	0	0	0	0	0	260	154	0	424	296	0	0	0	0	0	0	0
ZNF106	85.764706	496	0	0	0	0	174	388	267	0	133	0	0	0	0	0	0	0	0
RBM17	85.705882	232	0	0	0	0	209	468	405	0	143	0	0	0	0	0	0	0	0
HADH	85.705882	103	0	0	0	0	225	599	200	0	0	203	0	0	0	0	0	127	0
DBR1	85.705882	960	0	0	0	0	112	184	201	0	0	0	0	0	0	0	0	0	0
TBC1D15	85.647059	164	0	0	0	0	250	526	234	0	58	224	0	0	0	0	0	0	0
SEPHS2	85.647059	413	0	0	0	0	180	411	96	0	200	156	0	0	0	0	0	0	0
RNASEH2C	85.647059	607	0	0	0	0	258	341	154	0	0	96	0	0	0	0	0	0	0
POLD3	85.647059	195	0	0	0	0	320	602	228	0	0	111	0	0	0	0	0	0	0
NKTR	85.647059	483	0	0	0	0	185	413	177	0	0	123	0	0	0	0	75	0	0
H2BC18	85.647059	681	0	0	0	0	93	0	235	0	0	0	0	0	0	0	230	217	0
ZKSCAN2	85.588235	289	0	0	0	0	196	502	219	0	0	102	0	0	0	0	0	147	0
TRIM33	85.588235	554	0	0	0	0	258	379	158	0	0	106	0	0	0	0	0	0	0
TIMM21	85.588235	839	0	0	0	0	93	318	205	0	0	0	0	0	0	0	0	0	0
SMIM12	85.588235	318	0	0	0	0	219	590	207	0	121	0	0	0	0	0	0	0	0
RBL2	85.588235	634	0	0	0	0	257	428	136	0	0	0	0	0	0	0	0	0	0
IGF2BP3	85.588235	0	0	0	0	0	213	319	165	0	272	486	0	0	0	0	0	0	0
FBXO15	85.588235	839	0	0	0	0	93	318	205	0	0	0	0	0	0	0	0	0	0
RRN3	85.529412	246	0	0	0	0	328	492	301	0	0	87	0	0	0	0	0	0	0
ZNF76	85.470588	175	0	0	0	0	315	470	361	0	0	0	0	0	0	0	0	132	0
RAD50	85.470588	305	0	0	0	0	304	329	218	0	134	163	0	0	0	0	0	0	0
TINF2	85.411765	187	0	0	0	0	300	614	351	0	0	0	0	0	0	0	0	0	0
SMS	85.411765	0	0	0	0	0	217	788	151	0	0	296	0	0	0	0	0	0	0
SLC35E2B	85.411765	189	241	379	0	0	0	107	536	0	0	0	0	0	0	0	0	0	0
DDX19A	85.411765	674	0	0	0	0	202	337	239	0	0	0	0	0	0	0	0	0	0
ABHD16A	85.411765	256	0	0	0	0	331	474	391	0	0	0	0	0	0	0	0	0	0
C4orf3	85.352941	141	0	0	0	0	161	730	200	0	0	219	0	0	0	0	0	0	0
FAM227B	85.294118	237	0	0	0	0	294	345	443	0	0	0	0	0	0	0	0	131	0
DTWD1	85.294118	237	0	0	0	0	294	345	443	0	0	0	0	0	0	0	0	131	0
EPRS1	85.235294	534	0	0	0	0	213	286	327	0	0	89	0	0	0	0	0	0	0
SDHAF3	85.176471	290	0	0	0	0	196	486	383	0	0	93	0	0	0	0	0	0	0
ATP5MC1	85.117647	358	0	0	0	0	212	407	233	0	111	126	0	0	0	0	0	0	0
WDR46	85.058824	536	0	0	0	0	141	338	257	0	0	174	0	0	0	0	0	0	0
USPL1	85.058824	205	0	0	0	0	342	420	479	0	0	0	0	0	0	0	0	0	0
SETD5	85.058824	272	0	0	0	0	213	398	121	0	106	214	0	0	0	0	0	122	0
PFDN6	85.058824	536	0	0	0	0	141	338	257	0	0	174	0	0	0	0	0	0	0
JRK	85.058824	339	0	0	0	0	306	393	191	0	0	0	0	0	0	0	217	0	0
CBWD3	85.058824	445	0	0	0	0	238	183	263	0	0	131	0	0	0	0	78	108	0
TOMM7	85.000000	792	0	0	0	0	200	315	138	0	0	0	0	0	0	0	0	0	0
LOC100287896	84.941176	395	0	0	0	0	133	263	102	0	169	285	0	0	0	0	0	97	0
LIPT2	84.941176	395	0	0	0	0	133	263	102	0	169	285	0	0	0	0	0	97	0
UGP2	84.823529	394	0	0	0	0	245	474	171	0	0	158	0	0	0	0	0	0	0
SLC35B1	84.823529	501	0	0	0	0	187	347	326	0	0	81	0	0	0	0	0	0	0
DTD2	84.823529	283	0	0	0	0	325	468	276	0	0	0	0	0	0	0	0	90	0
SCRN3	84.764706	0	0	0	0	0	418	573	338	0	0	112	0	0	0	0	0	0	0
CIR1	84.764706	0	0	0	0	0	418	573	338	0	0	112	0	0	0	0	0	0	0
SH3GL1	84.705882	0	0	0	0	0	364	494	367	0	0	215	0	0	0	0	0	0	0
IRS1	84.647059	0	0	0	0	0	223	534	682	0	0	0	0	0	0	0	0	0	0
THOC2	84.588235	0	0	0	0	0	364	632	213	0	0	229	0	0	0	0	0	0	0
PSMA1	84.411765	328	0	0	0	0	215	572	240	0	80	0	0	0	0	0	0	0	0
LAPTM4A	84.411765	158	0	0	0	0	155	564	385	0	0	173	0	0	0	0	0	0	0
ZNF253	84.294118	0	0	0	0	0	175	602	196	0	188	272	0	0	0	0	0	0	0
STARD13	84.235294	0	0	0	0	0	369	686	175	0	0	0	0	0	0	0	0	202	0
MPC1	84.117647	162	0	0	0	0	457	677	134	0	0	0	0	0	0	0	0	0	0
ZNF317	84.058824	1230	0	0	0	0	0	91	108	0	0	0	0	0	0	0	0	0	0
XRCC5	84.058824	195	0	0	0	0	314	523	397	0	0	0	0	0	0	0	0	0	0
RPL23	84.058824	240	0	0	0	0	256	440	275	0	81	137	0	0	0	0	0	0	0
ZNF544	84.000000	316	0	0	0	0	141	469	0	0	233	269	0	0	0	0	0	0	0
TOM1	83.941176	128	0	0	0	0	220	228	114	0	187	126	0	0	0	0	168	256	0
CEP120	83.941176	221	0	0	0	0	175	494	424	0	0	0	0	0	0	0	0	113	0
SEPSECS	83.882353	329	0	0	0	0	234	419	204	0	109	131	0	0	0	0	0	0	0
RTTN	83.882353	292	0	0	0	0	319	485	330	0	0	0	0	0	0	0	0	0	0
RPS26	83.882353	713	0	0	0	0	162	358	193	0	0	0	0	0	0	0	0	0	0
CANT1	83.882353	283	0	0	0	0	380	592	171	0	0	0	0	0	0	0	0	0	0
RMI1	83.823529	343	0	0	0	0	173	397	288	0	0	0	0	0	0	0	144	80	0
PANK1	83.823529	576	0	0	0	0	171	334	344	0	0	0	0	0	0	0	0	0	0
HSPA1L	83.823529	496	0	0	0	0	139	263	243	0	148	136	0	0	0	0	0	0	0
HSPA1A	83.823529	496	0	0	0	0	139	263	243	0	148	136	0	0	0	0	0	0	0
HNRNPK	83.823529	343	0	0	0	0	173	397	288	0	0	0	0	0	0	0	144	80	0
ACIN1	83.823529	213	0	0	0	0	136	250	299	0	0	0	0	0	0	0	145	382	0
CWF19L1	83.764706	367	0	0	0	0	306	449	302	0	0	0	0	0	0	0	0	0	0
UBQLN4	83.705882	703	0	0	0	0	132	309	279	0	0	0	0	0	0	0	0	0	0
LAMTOR2	83.705882	703	0	0	0	0	132	309	279	0	0	0	0	0	0	0	0	0	0
GMPPB	83.705882	187	0	0	0	0	395	573	0	0	73	195	0	0	0	0	0	0	0
ARHGEF12	83.705882	193	0	0	0	0	222	469	429	0	0	0	0	0	0	0	0	110	0
SSBP2	83.647059	383	0	0	0	0	265	497	141	0	0	0	0	0	0	0	0	136	0
INO80	83.647059	516	0	0	0	0	201	348	171	0	97	89	0	0	0	0	0	0	0
ZNF654	83.588235	187	0	0	0	0	184	326	151	0	0	166	0	0	0	0	129	278	0
ZNF721	83.529412	442	0	0	0	0	260	366	283	0	0	69	0	0	0	0	0	0	0
PIGG	83.529412	442	0	0	0	0	260	366	283	0	0	69	0	0	0	0	0	0	0
PHKB	83.529412	456	0	0	0	0	137	504	107	0	216	0	0	0	0	0	0	0	0
LONP2	83.529412	370	0	0	0	0	247	446	357	0	0	0	0	0	0	0	0	0	0
ITFG1	83.529412	456	0	0	0	0	137	504	107	0	216	0	0	0	0	0	0	0	0
HEATR5A	83.529412	171	0	0	0	0	317	557	375	0	0	0	0	0	0	0	0	0	0
ABCC11	83.529412	370	0	0	0	0	247	446	357	0	0	0	0	0	0	0	0	0	0
TPR	83.470588	157	0	0	0	0	265	431	174	0	0	156	0	0	0	0	83	153	0
ODR4	83.470588	157	0	0	0	0	265	431	174	0	0	156	0	0	0	0	83	153	0
MRM3	83.470588	424	0	0	0	0	264	443	189	0	0	99	0	0	0	0	0	0	0
GLOD4	83.470588	424	0	0	0	0	264	443	189	0	0	99	0	0	0	0	0	0	0
MPC2	83.411765	840	0	0	0	0	137	172	179	0	0	0	0	0	0	0	90	0	0
DCAF6	83.411765	840	0	0	0	0	137	172	179	0	0	0	0	0	0	0	90	0	0
SLC35B4	83.352941	1107	0	0	0	0	102	81	127	0	0	0	0	0	0	0	0	0	0
ZNF23	83.294118	339	0	0	0	0	232	591	254	0	0	0	0	0	0	0	0	0	0
FADD	83.294118	486	0	0	0	0	434	318	178	0	0	0	0	0	0	0	0	0	0
LAS1L	83.176471	0	0	0	0	0	242	394	193	0	187	398	0	0	0	0	0	0	0
INIP	83.176471	107	0	0	0	0	184	475	175	0	167	306	0	0	0	0	0	0	0
ZKSCAN3	83.117647	147	0	0	0	0	341	441	196	0	91	197	0	0	0	0	0	0	0
RRP15	83.117647	249	0	0	0	0	214	354	447	0	0	149	0	0	0	0	0	0	0
PRKAG1	83.117647	401	0	0	0	0	112	244	300	0	0	0	0	0	0	0	101	255	0
KHSRP	83.117647	502	0	0	0	0	140	326	105	0	174	166	0	0	0	0	0	0	0
RPL36AL	83.000000	228	0	0	0	0	242	511	162	0	110	158	0	0	0	0	0	0	0
MGAT2	83.000000	228	0	0	0	0	242	511	162	0	110	158	0	0	0	0	0	0	0
BAIAP2	83.000000	348	0	0	0	0	143	492	428	0	0	0	0	0	0	0	0	0	0
TMEM126B	82.941176	152	0	0	0	0	339	604	164	0	151	0	0	0	0	0	0	0	0
H3C7	82.941176	445	0	0	0	0	145	267	111	0	181	136	0	0	0	0	0	125	0
DLG2	82.941176	152	0	0	0	0	339	604	164	0	151	0	0	0	0	0	0	0	0
ARL14EP	82.941176	511	0	0	0	0	123	493	283	0	0	0	0	0	0	0	0	0	0
PPRC1	82.882353	711	0	0	0	0	144	330	224	0	0	0	0	0	0	0	0	0	0
TRIM23	82.823529	481	0	0	0	0	229	282	198	0	125	93	0	0	0	0	0	0	0
TRAPPC13	82.823529	481	0	0	0	0	229	282	198	0	125	93	0	0	0	0	0	0	0
SHLD3	82.823529	481	0	0	0	0	229	282	198	0	125	93	0	0	0	0	0	0	0
TMBIM4	82.764706	286	0	0	0	0	307	444	179	0	0	191	0	0	0	0	0	0	0
SRA1	82.705882	225	0	0	0	0	212	223	148	0	0	0	0	0	0	0	371	227	0
RLIM	82.705882	0	0	0	0	0	315	458	209	0	248	176	0	0	0	0	0	0	0
ZNF614	82.647059	464	0	0	0	0	104	175	169	0	225	268	0	0	0	0	0	0	0
VIM	82.647059	0	0	0	0	0	0	0	0	0	611	794	0	0	0	0	0	0	0
ARHGAP35	82.529412	295	0	0	0	0	203	410	79	0	157	259	0	0	0	0	0	0	0
ZNF286A	82.470588	483	0	0	0	0	261	319	339	0	0	0	0	0	0	0	0	0	0
ERLEC1	82.411765	378	0	0	0	0	223	440	288	0	0	72	0	0	0	0	0	0	0
EFTUD2	82.411765	333	0	0	0	0	252	363	332	0	0	121	0	0	0	0	0	0	0
CCDC103	82.411765	333	0	0	0	0	252	363	332	0	0	121	0	0	0	0	0	0	0
ASB3	82.411765	378	0	0	0	0	223	440	288	0	0	72	0	0	0	0	0	0	0
TTC33	82.352941	289	0	0	0	0	187	473	229	0	0	0	0	0	0	0	144	78	0
TBC1D22A	82.294118	491	0	0	0	0	250	491	167	0	0	0	0	0	0	0	0	0	0
NOC4L	82.294118	754	0	0	0	0	211	224	210	0	0	0	0	0	0	0	0	0	0
NCLN	82.294118	1081	0	0	0	0	0	164	154	0	0	0	0	0	0	0	0	0	0
FAM53C	82.294118	283	0	312	0	0	140	328	216	0	120	0	0	0	0	0	0	0	0
DDX51	82.294118	754	0	0	0	0	211	224	210	0	0	0	0	0	0	0	0	0	0
SRCAP	82.235294	858	0	0	0	0	139	224	177	0	0	0	0	0	0	0	0	0	0
LOC730183	82.235294	858	0	0	0	0	139	224	177	0	0	0	0	0	0	0	0	0	0
ZMYM6	82.117647	174	0	0	0	0	260	491	190	0	144	137	0	0	0	0	0	0	0
PLOD2	82.117647	300	0	0	0	0	219	398	386	0	0	0	0	0	0	0	0	93	0
CLPTM1	82.117647	605	0	0	0	0	107	157	162	0	198	167	0	0	0	0	0	0	0
OAZ3	82.058824	692	0	0	0	0	140	248	126	0	0	89	0	0	0	0	0	100	0
NUP58	82.058824	142	0	0	0	0	266	447	109	0	181	172	0	0	0	0	0	78	0
MRPL9	82.058824	692	0	0	0	0	140	248	126	0	0	89	0	0	0	0	0	100	0
EDEM2	82.058824	526	0	0	0	0	272	347	250	0	0	0	0	0	0	0	0	0	0
ARL8B	82.058824	435	0	0	0	0	284	302	265	0	0	109	0	0	0	0	0	0	0
SPHK2	82.000000	534	0	0	0	0	212	441	207	0	0	0	0	0	0	0	0	0	0
RPL18	82.000000	534	0	0	0	0	212	441	207	0	0	0	0	0	0	0	0	0	0
KDM3B	82.000000	98	0	0	0	0	165	364	328	0	0	0	0	0	0	0	141	298	0
HIKESHI	82.000000	623	0	0	0	0	196	294	281	0	0	0	0	0	0	0	0	0	0
WDR12	81.941176	296	0	0	0	0	204	506	249	0	0	138	0	0	0	0	0	0	0
PGRMC2	81.941176	295	0	0	0	0	286	463	215	0	0	134	0	0	0	0	0	0	0
CARF	81.941176	296	0	0	0	0	204	506	249	0	0	138	0	0	0	0	0	0	0
HEATR1	81.882353	232	0	0	0	0	196	404	273	0	127	160	0	0	0	0	0	0	0
C19orf48	81.823529	630	0	0	0	0	129	310	171	0	151	0	0	0	0	0	0	0	0
SUCO	81.705882	206	0	0	0	0	195	240	195	0	170	189	0	0	0	0	0	194	0
SFR1	81.647059	298	0	0	0	0	269	516	194	0	0	111	0	0	0	0	0	0	0
MYNN	81.647059	299	0	0	0	0	114	74	821	0	0	0	0	0	0	0	0	80	0
GID8	81.647059	248	0	0	0	0	352	516	272	0	0	0	0	0	0	0	0	0	0
UBR4	81.588235	347	0	0	0	0	251	445	240	0	0	104	0	0	0	0	0	0	0
IFT140	81.588235	173	0	0	0	0	215	304	125	0	195	375	0	0	0	0	0	0	0
CRAMP1	81.588235	173	0	0	0	0	215	304	125	0	195	375	0	0	0	0	0	0	0
UGGT2	81.529412	180	0	0	0	0	204	406	231	0	0	163	0	0	0	0	0	202	0
METTL18	81.529412	197	0	0	0	0	244	615	225	0	0	105	0	0	0	0	0	0	0
C1orf112	81.529412	197	0	0	0	0	244	615	225	0	0	105	0	0	0	0	0	0	0
SDAD1	81.352941	0	0	0	0	0	342	411	381	0	100	149	0	0	0	0	0	0	0
RP2	81.352941	0	0	0	0	0	379	600	220	0	0	184	0	0	0	0	0	0	0
PPOX	81.352941	424	0	0	0	0	153	296	244	0	147	119	0	0	0	0	0	0	0
RPS11	81.294118	762	0	0	0	0	139	225	128	0	0	128	0	0	0	0	0	0	0
RMND1	81.294118	309	0	0	0	0	195	480	398	0	0	0	0	0	0	0	0	0	0
PPM1D	81.294118	346	0	0	0	0	227	467	224	0	0	118	0	0	0	0	0	0	0
HIBCH	81.294118	280	0	0	0	0	304	436	362	0	0	0	0	0	0	0	0	0	0
DYNC1I2	81.294118	682	0	0	0	0	145	291	264	0	0	0	0	0	0	0	0	0	0
ARMT1	81.294118	309	0	0	0	0	195	480	398	0	0	0	0	0	0	0	0	0	0
SPRING1	81.235294	118	0	0	0	0	262	637	208	0	0	156	0	0	0	0	0	0	0
SGF29	81.235294	527	0	0	0	0	190	271	393	0	0	0	0	0	0	0	0	0	0
RNFT2	81.235294	118	0	0	0	0	262	637	208	0	0	156	0	0	0	0	0	0	0
MBTPS1	81.235294	722	0	0	0	0	209	253	197	0	0	0	0	0	0	0	0	0	0
ANG	81.235294	100	0	0	0	0	101	399	475	0	90	216	0	0	0	0	0	0	0
PRRG2	81.176471	350	0	0	0	0	208	398	424	0	0	0	0	0	0	0	0	0	0
PPP6C	81.176471	502	0	0	0	0	218	470	190	0	0	0	0	0	0	0	0	0	0
NOSIP	81.176471	350	0	0	0	0	208	398	424	0	0	0	0	0	0	0	0	0	0
ADGRE5	81.176471	0	0	0	0	0	0	133	0	0	561	686	0	0	0	0	0	0	0
NECAP2	81.117647	188	0	0	0	0	379	403	316	0	0	93	0	0	0	0	0	0	0
POLR2K	81.058824	202	0	0	0	0	239	347	239	0	162	189	0	0	0	0	0	0	0
GRWD1	80.941176	989	0	0	0	0	82	167	138	0	0	0	0	0	0	0	0	0	0
MUS81	80.882353	163	0	0	0	0	321	480	147	0	108	156	0	0	0	0	0	0	0
DPH5	80.882353	880	0	0	0	0	142	185	168	0	0	0	0	0	0	0	0	0	0
YARS1	80.823529	183	0	0	0	0	278	487	273	0	0	153	0	0	0	0	0	0	0
SMC6	80.823529	305	0	0	0	0	336	583	150	0	0	0	0	0	0	0	0	0	0
S100PBP	80.823529	183	0	0	0	0	278	487	273	0	0	153	0	0	0	0	0	0	0
GEN1	80.823529	305	0	0	0	0	336	583	150	0	0	0	0	0	0	0	0	0	0
DNM2	80.823529	288	0	0	0	0	139	303	201	0	335	108	0	0	0	0	0	0	0
TOMM40	80.764706	270	0	0	0	0	214	437	267	0	0	185	0	0	0	0	0	0	0
E2F6	80.764706	127	0	0	0	0	151	355	636	0	0	104	0	0	0	0	0	0	0
ZFYVE1	80.705882	767	0	0	0	0	125	189	182	0	0	109	0	0	0	0	0	0	0
TRIM24	80.588235	123	0	0	0	0	133	363	146	0	386	219	0	0	0	0	0	0	0
MLEC	80.588235	220	0	0	0	0	206	418	245	0	131	150	0	0	0	0	0	0	0
TFB1M	80.529412	133	0	0	0	0	216	377	303	0	202	138	0	0	0	0	0	0	0
NUDCD3	80.411765	196	0	0	0	0	200	381	180	0	245	165	0	0	0	0	0	0	0
DCLRE1B	80.294118	306	0	0	0	0	308	340	274	0	0	137	0	0	0	0	0	0	0
CREM	80.294118	229	0	0	0	0	157	379	224	0	165	211	0	0	0	0	0	0	0
AP4B1	80.294118	306	0	0	0	0	308	340	274	0	0	137	0	0	0	0	0	0	0
AP1AR	80.294118	167	0	0	0	0	301	492	405	0	0	0	0	0	0	0	0	0	0
TRA2B	80.117647	274	0	0	0	0	286	367	194	0	0	0	0	0	0	0	97	144	0
INTS2	80.117647	495	0	0	0	0	198	311	266	0	92	0	0	0	0	0	0	0	0
EAPP	80.117647	86	0	0	0	0	292	498	486	0	0	0	0	0	0	0	0	0	0
RNASE4	80.058824	100	0	0	0	0	101	399	455	0	90	216	0	0	0	0	0	0	0
NIP7	79.941176	209	0	0	0	0	270	354	428	0	0	98	0	0	0	0	0	0	0
COG8	79.941176	209	0	0	0	0	270	354	428	0	0	98	0	0	0	0	0	0	0
ATP5MC2	79.941176	163	0	0	0	0	240	427	445	0	0	84	0	0	0	0	0	0	0
VIRMA	79.882353	191	0	0	0	0	410	421	336	0	0	0	0	0	0	0	0	0	0
SCAMP5	79.882353	468	0	0	0	0	228	514	148	0	0	0	0	0	0	0	0	0	0
RPIA	79.882353	673	0	0	0	0	142	266	277	0	0	0	0	0	0	0	0	0	0
ZC3H15	79.823529	639	0	0	0	0	183	266	269	0	0	0	0	0	0	0	0	0	0
THOC6	79.823529	428	0	0	0	0	103	91	125	0	0	0	0	0	0	0	124	486	0
IST1	79.823529	255	0	0	0	0	247	403	325	0	0	127	0	0	0	0	0	0	0
HCFC1R1	79.823529	428	0	0	0	0	103	91	125	0	0	0	0	0	0	0	124	486	0
GARS1	79.823529	265	0	0	0	0	316	541	235	0	0	0	0	0	0	0	0	0	0
SLC25A4	79.764706	800	0	0	0	0	132	295	129	0	0	0	0	0	0	0	0	0	0
ETFDH	79.764706	245	0	0	0	0	249	418	288	0	0	75	0	0	0	0	0	81	0
C4orf46	79.764706	245	0	0	0	0	249	418	288	0	0	75	0	0	0	0	0	81	0
ACTR3	79.764706	361	0	0	0	0	209	335	451	0	0	0	0	0	0	0	0	0	0
TFB2M	79.705882	130	0	0	0	0	276	624	214	0	0	0	0	0	0	0	0	111	0
PIP4K2B	79.705882	87	0	0	0	0	222	410	509	0	0	0	0	0	0	0	127	0	0
LANCL1	79.705882	161	0	0	0	0	386	476	332	0	0	0	0	0	0	0	0	0	0
CPS1	79.705882	161	0	0	0	0	386	476	332	0	0	0	0	0	0	0	0	0	0
CNST	79.705882	130	0	0	0	0	276	624	214	0	0	0	0	0	0	0	0	111	0
ZBTB37	79.647059	499	0	0	0	0	151	153	258	0	0	0	0	0	0	0	124	169	0
SMARCC2	79.588235	0	0	0	0	0	255	325	773	0	0	0	0	0	0	0	0	0	0
PCYT2	79.588235	0	0	0	0	0	324	714	315	0	0	0	0	0	0	0	0	0	0
MRPL21	79.588235	448	0	0	0	0	244	414	247	0	0	0	0	0	0	0	0	0	0
