Target_genes	KLF4|Average	SRX130062|BJ	SRX5360641|BJ	SRX5360642|BJ	SRX5360649|BJ	SRX5360650|BJ	SRX5360661|BJ	SRX5360662|BJ	SRX2732458|Glioblastoma	SRX2732459|Glioblastoma	SRX2732460|Glioblastoma	SRX5763015|HAP1	SRX011573|hESC_H1	SRX3288568|hESC_H9	SRX3288569|hESC_H9	SRX5763013|hESC_WIBR3	SRX1813594|iPS_cells	SRX1813595|iPS_cells	SRX512371|iPS_cells	SRX543181|Keratinocytes	SRX194578|MCF-7	SRX1813588|MRC-5	SRX1813589|MRC-5	SRX1813590|MRC-5	SRX1813591|MRC-5	SRX1813592|MRC-5	SRX1813593|MRC-5	SRX2732212|MRC-5	SRX2732213|MRC-5	SRX1389376|PDAC	STRING
SLC30A4	25.896552	0	0	0	157	206	112	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	99	0
COL5A3	25.896552	0	0	0	199	208	263	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0
SMTN	25.862069	149	0	0	0	146	241	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	109	0
RPL12	25.862069	0	0	0	0	172	138	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	241	0
LRSAM1	25.862069	0	0	0	0	172	138	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	241	0
ADD3	25.862069	0	0	0	110	136	180	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TESK1	25.827586	158	0	0	157	117	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
PNMA2	25.827586	0	0	0	168	161	213	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT8	25.827586	0	0	0	159	151	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0
HMGCS1	25.827586	0	0	0	122	199	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0
HERC5	25.827586	0	0	0	0	175	168	0	0	0	0	0	0	70	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0
NES	25.793103	0	0	0	128	132	231	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0
NDUFB2	25.793103	0	0	0	166	156	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0
MFSD14A	25.793103	0	0	0	253	250	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0
MAPK8IP3	25.793103	0	0	0	126	128	159	0	0	0	0	110	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0
KANSL1L	25.793103	0	0	0	152	112	130	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	277	0
GDI2	25.793103	0	0	0	132	165	219	0	0	0	0	108	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0
STARD5	25.758621	0	0	0	121	127	271	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	92	0
SERPINB1	25.758621	0	0	0	161	231	257	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QRICH1	25.758621	0	0	0	121	274	263	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OGDH	25.758621	0	0	0	182	205	186	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0
C17orf97	25.758621	169	0	0	103	216	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRA	25.724138	0	0	0	116	134	181	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	190	0
KANSL1	25.724138	0	0	0	139	158	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0
FAM149B1	25.724138	0	0	0	219	325	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECD	25.724138	0	0	0	219	325	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENND2D	25.724138	0	0	0	180	243	232	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0
CFL1	25.724138	0	0	0	0	80	123	0	0	0	0	105	0	118	0	0	0	0	81	108	0	0	0	0	0	0	0	0	0	131	0
CDC16	25.724138	0	0	0	161	274	179	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0
C14orf132	25.724138	0	0	0	133	172	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NELFB	25.689655	0	0	0	168	198	145	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITM2B	25.689655	0	0	0	124	229	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCLA2	25.655172	0	0	0	99	108	147	0	0	0	0	0	0	235	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RORC	25.655172	0	0	0	150	221	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0
KPNA4	25.655172	0	0	0	0	108	193	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	338	0
GPR157	25.655172	78	0	0	116	119	336	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GART	25.655172	0	0	0	196	188	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0
DLC1	25.655172	0	0	0	163	151	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0
ZNF563	25.620690	0	0	0	108	219	279	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0
UEVLD	25.620690	0	0	0	0	175	331	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	101	0
TBCA	25.620690	0	0	0	132	199	174	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	108	0
NEURL4	25.620690	105	0	0	115	111	175	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	122	0
MXI1	25.620690	0	0	0	0	144	267	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0
DIDO1	25.620690	0	0	0	118	157	202	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0
CNOT4	25.620690	0	0	0	68	162	203	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	199	0
CAV1	25.620690	0	0	0	0	219	292	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	92	0
TMCO6	25.586207	0	0	0	196	218	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
THUMPD1	25.586207	119	0	0	128	230	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBX1	25.586207	0	0	0	0	0	263	0	0	0	0	191	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	152	0
KRCC1	25.586207	0	0	0	170	202	206	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0
USP27X	25.551724	0	0	0	134	163	115	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	152	0
TMOD3	25.551724	0	0	0	0	212	148	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	223	0
RASA2	25.551724	103	0	0	202	135	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAP2B	25.551724	125	0	0	161	144	154	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0
PRKCI	25.551724	0	0	0	161	0	181	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	234	0
PLA2G15	25.551724	0	0	0	180	208	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0
LOC730098	25.551724	131	0	0	144	0	282	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0
DUSP5	25.551724	0	0	0	120	233	301	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP22	25.551724	0	0	0	161	182	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0
CTSC	25.551724	0	0	0	120	117	229	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	171	0
CSRNP2	25.551724	0	0	0	212	175	226	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK12	25.551724	0	0	0	109	0	166	0	0	0	0	121	0	0	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0
ANKRD40CL	25.517241	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0
UROD	25.482759	74	0	0	0	191	127	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	138	0
ST3GAL4	25.482759	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	112	0
RANBP6	25.448276	0	0	0	155	149	296	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0
ELF2	25.448276	0	0	0	91	174	167	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	163	0
AMD1	25.448276	0	0	0	141	201	253	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0
ZNF143	25.413793	0	0	0	0	108	159	0	0	0	0	123	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	195	0
USP25	25.413793	0	0	0	0	300	322	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM191B	25.413793	0	0	0	0	163	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0
LIMS1	25.413793	0	0	0	102	151	160	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	166	0
KLHL21	25.413793	0	0	0	184	247	108	95	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPC1	25.413793	0	0	0	113	178	90	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	135	0
SIRT1	25.379310	0	287	0	0	114	188	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHF	25.379310	0	0	0	0	189	221	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	88	0
PYGL	25.379310	150	0	0	193	149	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTMR9	25.379310	0	0	0	0	158	264	0	0	0	0	147	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0
ZNF606	25.344828	0	0	0	73	140	116	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	129	0
PTBP3	25.344828	0	0	0	191	192	267	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRC2B	25.344828	0	0	0	146	105	251	0	0	0	0	124	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0
GLIS2	25.344828	0	0	0	153	162	208	0	0	0	0	0	0	0	96	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0
GINS4	25.344828	0	0	0	208	249	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0
DCLRE1C	25.344828	0	0	0	0	115	219	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	141	0
BUD13	25.344828	0	0	0	157	150	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0
ZNF487	25.310345	0	0	0	76	160	138	0	0	0	0	79	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	160	0
ZBTB49	25.310345	0	0	0	136	148	200	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	123	0
YIF1B	25.310345	175	0	0	141	145	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRC	25.310345	0	0	0	140	145	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0
RAD52	25.310345	0	0	0	0	123	153	0	0	0	0	128	0	0	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	156	0
RAB32	25.310345	0	0	0	244	306	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYAR	25.310345	0	0	0	136	148	200	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	123	0
HINT1	25.310345	0	0	0	126	209	264	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0
GDF15	25.310345	0	0	0	174	151	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0
ATG4C	25.310345	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	0	0	294	0
SPATA24	25.275862	0	0	0	0	103	171	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	238	0
NEURL2	25.275862	0	0	0	133	119	124	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0
DNAJC25-GNG10	25.275862	0	0	0	160	163	241	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
DNAJC25	25.275862	0	0	0	160	163	241	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
CTSA	25.275862	0	0	0	133	119	124	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0
CATSPERE	25.275862	0	0	0	213	291	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASB6	25.275862	0	0	0	137	194	254	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0
ZNF441	25.241379	0	0	0	161	193	206	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0
ZNF407	25.241379	0	0	0	0	99	275	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	267	0
VPS26A	25.241379	123	0	0	75	129	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0
TIPARP	25.241379	0	0	0	0	127	130	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	360	0
RIN1	25.241379	0	0	0	0	181	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0
PLA2R1	25.241379	0	0	0	105	108	262	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	167	0
GPATCH2L	25.241379	0	0	0	82	161	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0
BCL2L2-PABPN1	25.241379	0	0	0	222	238	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0
BCL2L2	25.241379	0	0	0	222	238	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0
ZNF354A	25.206897	0	0	0	103	210	124	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	0	0	0	0	0	0	0
HGSNAT	25.206897	0	0	0	0	158	186	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	170	0
G6PC3	25.206897	0	0	0	163	170	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0
SMG8	25.172414	0	0	0	122	167	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0
MPHOSPH6	25.172414	0	0	0	157	159	98	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	119	0
MICALL1	25.172414	0	0	0	141	230	157	0	0	0	0	112	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
METTL26	25.172414	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	619	0	0	0	0	0	0	0	0	0	0	0
TCF12	25.137931	0	0	0	162	177	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0
POLR3D	25.137931	85	0	0	0	183	188	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	88	0
PRDM5	25.103448	0	0	0	207	142	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0
POMP	25.103448	0	0	0	130	189	201	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0
KLHL20	25.103448	0	0	0	128	172	191	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	128	0
FAM72C	25.103448	0	0	0	123	126	388	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0
C12orf75	25.103448	0	0	0	119	213	193	0	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0
BCL2L12	25.103448	0	0	0	139	76	220	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	117	0
AKAP8	25.103448	0	0	0	96	281	199	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0
UPF2	25.068966	0	0	0	0	117	221	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	177	0
SRP9	25.068966	0	0	0	165	151	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0
KLHL7	25.068966	0	0	0	118	123	166	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	121	0
FDXACB1	25.068966	0	0	0	0	144	261	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	135	0
FAF1	25.068966	87	0	0	135	155	139	0	0	0	0	0	0	0	0	0	0	0	72	139	0	0	0	0	0	0	0	0	0	0	0
CDC42	25.068966	0	0	0	106	164	195	0	0	0	0	107	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0
C11orf1	25.068966	0	0	0	0	144	261	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	135	0
TRPM4	25.034483	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	303	0
TMA16	25.034483	0	0	0	0	200	226	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	174	0
PELATON	25.034483	0	0	0	89	129	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	0
NPHP1	25.034483	0	0	0	107	139	239	0	0	0	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0
LASP1	25.034483	0	0	0	125	133	146	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	187	0
ASPH	25.034483	0	0	0	168	119	259	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0
UBB	25.000000	0	0	0	178	0	316	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	140	0
STAG1	25.000000	0	0	0	126	115	317	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	91	0
RTKN	25.000000	0	0	0	141	219	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0
ENTPD7	25.000000	0	0	0	0	132	158	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	171	0
CFAP20	25.000000	0	0	0	0	172	289	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	165	0
ZNF639	24.965517	0	0	0	146	242	198	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCLO	24.965517	99	0	0	0	153	175	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	195	0
CASP8	24.965517	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	434	0
POLD1	24.931034	67	0	0	105	250	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PACRGL	24.931034	0	0	0	0	116	305	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	116	0
NTSR2	24.931034	0	0	0	0	117	203	0	0	0	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0
IWS1	24.931034	0	0	0	0	213	221	0	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0
GLIPR2	24.931034	114	0	0	119	104	218	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL2	24.931034	0	0	0	135	188	174	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0
TIGD6	24.896552	0	0	0	153	97	211	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0
SLC35C1	24.896552	121	0	0	178	162	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB43	24.896552	101	0	0	107	92	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0
NIPAL2	24.896552	0	0	0	129	218	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0
HMGXB3	24.896552	0	0	0	153	97	211	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0
DYSF	24.896552	0	0	0	0	243	205	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0
TCAIM	24.862069	0	0	0	137	204	245	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0
STEAP4	24.862069	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	129	0
NOD2	24.862069	114	0	0	0	161	242	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0
KLC1	24.862069	0	0	0	146	199	138	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	118	0
TMEM68	24.827586	0	0	0	104	168	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0
TGS1	24.827586	0	0	0	104	168	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0
IMPA2	24.827586	83	0	0	81	148	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PYCARD	24.793103	138	0	0	0	231	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB13	24.793103	0	0	0	148	222	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0
E2F7	24.793103	0	0	0	186	183	263	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0
CNIH3	24.793103	0	0	0	117	134	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0
CLDN23	24.793103	0	0	0	178	354	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCN2	24.793103	0	0	0	0	149	116	0	0	0	0	0	0	138	179	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0
C19orf48	24.793103	0	0	0	0	115	168	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	188	0
MAFB	24.758621	99	0	0	90	159	270	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0
KLK14	24.758621	0	0	0	177	236	174	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRPEL1	24.758621	75	0	0	106	160	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0
GABBR1	24.758621	0	0	0	181	263	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYB5R2	24.758621	0	0	0	144	277	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS3	24.724138	0	0	0	0	104	175	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0
POLR3E	24.724138	0	0	0	102	105	142	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	115	0
DENND1B	24.724138	57	0	0	123	131	192	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0
ARHGAP28	24.724138	0	0	0	194	294	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYPL1	24.689655	0	0	0	135	180	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAI1	24.689655	0	0	0	0	98	0	0	0	0	0	88	0	0	0	0	0	0	0	144	386	0	0	0	0	0	0	0	0	0	0
SIGIRR	24.689655	0	0	0	163	255	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DSTN	24.689655	0	0	0	87	116	182	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	191	0
CCNYL1	24.689655	0	0	0	0	97	336	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0
MYO1G	24.655172	116	0	0	156	151	163	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0
ITPKA	24.655172	0	0	0	0	188	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0
TOLLIP	24.620690	0	0	0	0	90	144	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0
