Target_genes	HMGB2|Average	SRX2765965|HUVEC	SRX1993515|IMR-90	SRX1993516|IMR-90	SRX2765967|Lung_fibroblasts	SRX2765968|Lung_fibroblasts	STRING
METTL4	50.200000	151	0	0	100	0	0
KBTBD6	50.200000	150	0	0	101	0	0
GTF2A2	50.200000	251	0	0	0	0	0
GADD45A	50.200000	251	0	0	0	0	0
FANCC	50.200000	155	0	0	96	0	0
FAM114A2	50.200000	251	0	0	0	0	0
C18orf54	50.200000	179	0	0	72	0	0
ANKHD1-EIF4EBP3	50.200000	251	0	0	0	0	0
ANKHD1	50.200000	251	0	0	0	0	0
ZNF300	50.000000	129	0	0	121	0	0
UFSP2	50.000000	154	0	0	96	0	0
SUPT20H	50.000000	187	0	0	63	0	0
SNX15	50.000000	250	0	0	0	0	0
SNAPC3	50.000000	250	0	0	0	0	0
RTCB	50.000000	124	0	0	126	0	0
PGBD2	50.000000	250	0	0	0	0	0
PARP2	50.000000	102	0	0	0	148	0
PABPC4L	50.000000	123	0	0	127	0	0
MED4	50.000000	129	0	0	0	121	0
MAP3K13	50.000000	184	0	0	66	0	0
GULP1	50.000000	163	0	0	87	0	0
CCNA2	50.000000	250	0	0	0	0	0
UIMC1	49.800000	170	0	0	79	0	0
TCAF1	49.800000	249	0	0	0	0	0
RNF7	49.800000	249	0	0	0	0	0
RNF19A	49.800000	152	0	0	97	0	0
PRR14	49.800000	139	0	0	110	0	0
OMA1	49.800000	144	0	0	105	0	0
NTAQ1	49.800000	154	0	0	95	0	0
NSMCE3	49.800000	159	0	0	90	0	0
H2BC8	49.800000	147	0	0	102	0	0
H2AC8	49.800000	147	0	0	102	0	0
EML4	49.800000	164	0	0	85	0	0
DNAJC1	49.800000	172	0	0	77	0	0
DAB1	49.800000	144	0	0	105	0	0
AFF1	49.800000	249	0	0	0	0	0
ADAR	49.800000	153	0	0	96	0	0
ZNF470	49.600000	170	0	0	78	0	0
SLC25A17	49.600000	248	0	0	0	0	0
SLC12A2	49.600000	138	0	0	110	0	0
SC5D	49.600000	184	0	0	64	0	0
SARAF	49.600000	138	0	0	110	0	0
RBPJ	49.600000	112	0	0	136	0	0
PPWD1	49.600000	248	0	0	0	0	0
PLEKHA1	49.600000	141	0	0	107	0	0
NDUFA9	49.600000	248	0	0	0	0	0
MOCS1	49.600000	173	0	0	75	0	0
LYRM2	49.600000	178	0	0	70	0	0
LRRC6	49.600000	154	0	0	94	0	0
LMBRD1	49.600000	154	0	0	94	0	0
ING4	49.600000	156	0	0	92	0	0
CXCL8	49.600000	248	0	0	0	0	0
CFAP206	49.600000	248	0	0	0	0	0
CENPK	49.600000	248	0	0	0	0	0
AMACR	49.600000	248	0	0	0	0	0
AKAP3	49.600000	248	0	0	0	0	0
AFF4	49.600000	169	0	0	79	0	0
ZSCAN9	49.400000	141	0	0	106	0	0
ZNF624	49.400000	247	0	0	0	0	0
ZCCHC10	49.400000	247	0	0	0	0	0
VPS36	49.400000	170	0	0	77	0	0
TTC37	49.400000	247	0	0	0	0	0
TBCA	49.400000	247	0	0	0	0	0
SULT6B1	49.400000	134	0	0	113	0	0
RRP15	49.400000	146	0	0	101	0	0
PUM3	49.400000	164	0	0	0	83	0
LHFPL6	49.400000	162	0	0	85	0	0
GTF2E2	49.400000	151	0	0	96	0	0
FBXO30	49.400000	247	0	0	0	0	0
EPM2A	49.400000	247	0	0	0	0	0
DDX60L	49.400000	247	0	0	0	0	0
CRYM	49.400000	247	0	0	0	0	0
CEBPZOS	49.400000	134	0	0	113	0	0
CCPG1	49.400000	153	0	0	94	0	0
C15orf65	49.400000	153	0	0	94	0	0
ARSK	49.400000	247	0	0	0	0	0
AGO3	49.400000	162	0	0	85	0	0
ZNF620	49.200000	246	0	0	0	0	0
ZNF197	49.200000	246	0	0	0	0	0
SLC30A7	49.200000	167	0	0	79	0	0
SLC25A26	49.200000	246	0	0	0	0	0
SCAF8	49.200000	137	0	0	109	0	0
RPRD1A	49.200000	246	0	0	0	0	0
RIDA	49.200000	112	0	0	134	0	0
RHOBTB1	49.200000	246	0	0	0	0	0
RELCH	49.200000	179	0	0	67	0	0
PREP	49.200000	246	0	0	0	0	0
POP1	49.200000	112	0	0	134	0	0
PIGN	49.200000	179	0	0	67	0	0
PDE4DIP	49.200000	146	0	0	100	0	0
MRPS33	49.200000	246	0	0	0	0	0
MARCHF8	49.200000	122	0	0	124	0	0
IMMP1L	49.200000	165	0	0	81	0	0
GTF2B	49.200000	246	0	0	0	0	0
EXTL2	49.200000	167	0	0	79	0	0
EVI2B	49.200000	246	0	0	0	0	0
ELP4	49.200000	165	0	0	81	0	0
EIF4H	49.200000	246	0	0	0	0	0
CTSC	49.200000	246	0	0	0	0	0
COBLL1	49.200000	165	0	0	81	0	0
CLDN12	49.200000	0	0	0	96	150	0
ANKRD13C	49.200000	168	0	0	78	0	0
TUBE1	49.000000	245	0	0	0	0	0
TRIM44	49.000000	177	0	0	68	0	0
TPP2	49.000000	245	0	0	0	0	0
SLC49A4	49.000000	130	0	0	115	0	0
RTRAF	49.000000	245	0	0	0	0	0
RSPH4A	49.000000	149	0	0	96	0	0
PYDC5	49.000000	245	0	0	0	0	0
PRDM10	49.000000	159	0	0	0	86	0
NUDT7	49.000000	150	0	0	95	0	0
MORN2	49.000000	161	0	0	0	84	0
IFI16	49.000000	245	0	0	0	0	0
HSPBAP1	49.000000	130	0	0	115	0	0
FUT4	49.000000	141	0	0	104	0	0
FAM229B	49.000000	245	0	0	0	0	0
EIF1AD	49.000000	148	0	0	97	0	0
EID1	49.000000	245	0	0	0	0	0
DUSP11	49.000000	164	0	0	81	0	0
DHX57	49.000000	161	0	0	0	84	0
COMMD10	49.000000	168	0	0	77	0	0
C9orf85	49.000000	124	0	0	0	121	0
BUD13	49.000000	245	0	0	0	0	0
BANF1	49.000000	148	0	0	97	0	0
ATAD1	49.000000	170	0	0	75	0	0
ABHD17B	49.000000	124	0	0	0	121	0
ZNF26	48.800000	168	0	0	76	0	0
MTHFD2	48.800000	137	0	0	107	0	0
LLPH	48.800000	244	0	0	0	0	0
HSPA1B	48.800000	105	0	0	139	0	0
HIPK3	48.800000	154	0	0	90	0	0
DONSON	48.800000	154	0	0	90	0	0
ZNF438	48.600000	243	0	0	0	0	0
TNKS	48.600000	243	0	0	0	0	0
RAB32	48.600000	156	0	0	87	0	0
PIKFYVE	48.600000	146	0	0	97	0	0
MAX	48.600000	120	0	0	123	0	0
ITFG2	48.600000	137	0	0	106	0	0
CD274	48.600000	243	0	0	0	0	0
CCDC174	48.600000	139	0	0	104	0	0
ALG6	48.600000	161	0	0	82	0	0
AHR	48.600000	243	0	0	0	0	0
ZFYVE9	48.400000	161	0	0	81	0	0
WDFY2	48.400000	242	0	0	0	0	0
UBAP2L	48.400000	242	0	0	0	0	0
STAMBP	48.400000	242	0	0	0	0	0
SDHD	48.400000	242	0	0	0	0	0
RINT1	48.400000	242	0	0	0	0	0
PTDSS1	48.400000	242	0	0	0	0	0
POLR3B	48.400000	242	0	0	0	0	0
PFN2	48.400000	129	0	0	113	0	0
MTERF3	48.400000	242	0	0	0	0	0
HSD17B7	48.400000	242	0	0	0	0	0
FAM172A	48.400000	242	0	0	0	0	0
CRLS1	48.400000	155	0	0	87	0	0
C1orf43	48.400000	242	0	0	0	0	0
AQR	48.400000	137	0	0	105	0	0
ZC3H14	48.200000	132	0	0	109	0	0
WDR5B	48.200000	169	0	0	72	0	0
TGFBR2	48.200000	241	0	0	0	0	0
SNW1	48.200000	241	0	0	0	0	0
SLC1A3	48.200000	138	0	0	103	0	0
SH3BGRL2	48.200000	171	0	0	70	0	0
PPT1	48.200000	241	0	0	0	0	0
MMRN1	48.200000	241	0	0	0	0	0
INTS13	48.200000	149	0	0	92	0	0
GTF2H2C	48.200000	119	0	0	122	0	0
FGFR1OP2	48.200000	149	0	0	92	0	0
DDX23	48.200000	136	0	0	105	0	0
CMSS1	48.200000	144	0	0	0	97	0
ADD1	48.200000	128	0	0	113	0	0
ABT1	48.200000	241	0	0	0	0	0
YAE1	48.000000	240	0	0	0	0	0
VWA8	48.000000	163	0	0	77	0	0
TTK	48.000000	167	0	0	73	0	0
TNKS2	48.000000	240	0	0	0	0	0
RPL15	48.000000	240	0	0	0	0	0
PYURF	48.000000	148	0	0	92	0	0
PIGY	48.000000	148	0	0	92	0	0
PCTP	48.000000	240	0	0	0	0	0
NKIRAS1	48.000000	240	0	0	0	0	0
LRRD1	48.000000	140	0	0	100	0	0
HERC3	48.000000	148	0	0	92	0	0
FBXO38	48.000000	240	0	0	0	0	0
C1D	48.000000	240	0	0	0	0	0
C16orf46	48.000000	154	0	0	86	0	0
BRAF	48.000000	134	0	0	106	0	0
ABRAXAS1	48.000000	126	0	0	114	0	0
TSTD2	47.800000	139	0	0	100	0	0
STRN3	47.800000	144	0	0	95	0	0
RPL12	47.800000	239	0	0	0	0	0
PGM2L1	47.800000	151	0	0	88	0	0
NCBP1	47.800000	139	0	0	100	0	0
NARS2	47.800000	141	0	0	98	0	0
MYNN	47.800000	150	0	0	89	0	0
LRSAM1	47.800000	239	0	0	0	0	0
CCNB2	47.800000	239	0	0	0	0	0
BPGM	47.800000	239	0	0	0	0	0
AP4S1	47.800000	144	0	0	95	0	0
ZNF582	47.600000	117	0	0	121	0	0
YES1	47.600000	159	0	0	79	0	0
TUBA1C	47.600000	238	0	0	0	0	0
TM9SF3	47.600000	238	0	0	0	0	0
SPICE1	47.600000	117	0	0	121	0	0
RTEL1	47.600000	155	0	0	83	0	0
NUP42	47.600000	238	0	0	0	0	0
NSMCE4A	47.600000	151	0	0	0	87	0
NBEAL1	47.600000	161	0	0	77	0	0
MFSD1	47.600000	143	0	0	95	0	0
MEMO1	47.600000	137	0	0	101	0	0
HYI	47.600000	105	0	0	133	0	0
HIGD2B	47.600000	138	0	0	100	0	0
GPT2	47.600000	144	0	0	94	0	0
GFM1	47.600000	238	0	0	0	0	0
CREBZF	47.600000	238	0	0	0	0	0
CLDND1	47.600000	149	0	0	89	0	0
CHN1	47.600000	238	0	0	0	0	0
BBS4	47.600000	138	0	0	100	0	0
ZNF513	47.400000	150	0	0	87	0	0
UBE2D2	47.400000	237	0	0	0	0	0
TASP1	47.400000	132	0	0	105	0	0
SP140L	47.400000	124	0	0	113	0	0
SLC25A46	47.400000	142	0	0	95	0	0
NHLRC2	47.400000	147	0	0	90	0	0
NAMPT	47.400000	165	0	0	72	0	0
MTFR2	47.400000	237	0	0	0	0	0
MME	47.400000	114	0	0	123	0	0
MDFIC	47.400000	120	0	0	117	0	0
H3C3	47.400000	237	0	0	0	0	0
GTF3C6	47.400000	159	0	0	78	0	0
DCLRE1A	47.400000	147	0	0	90	0	0
C8orf76	47.400000	133	0	0	104	0	0
ADSS2	47.400000	237	0	0	0	0	0
WDR3	47.200000	236	0	0	0	0	0
RPL24	47.200000	236	0	0	0	0	0
RANBP17	47.200000	143	0	0	93	0	0
POR	47.200000	121	0	0	115	0	0
NDUFS3	47.200000	123	0	0	113	0	0
MED17	47.200000	128	0	0	108	0	0
MAT2A	47.200000	236	0	0	0	0	0
KBTBD4	47.200000	123	0	0	113	0	0
HSCB	47.200000	236	0	0	0	0	0
GDAP2	47.200000	236	0	0	0	0	0
DSEL	47.200000	236	0	0	0	0	0
CLK1	47.200000	236	0	0	0	0	0
CHEK2	47.200000	236	0	0	0	0	0
CHCHD6	47.200000	112	0	0	124	0	0
CAP2	47.200000	115	0	0	0	121	0
ARL2	47.200000	131	0	0	105	0	0
ZNF33A	47.000000	164	0	0	71	0	0
VCL	47.000000	235	0	0	0	0	0
SGO1	47.000000	157	0	0	78	0	0
SCRT2	47.000000	122	0	0	113	0	0
RBM33	47.000000	128	0	0	107	0	0
RANBP6	47.000000	235	0	0	0	0	0
PLPP5	47.000000	145	0	0	90	0	0
NIPSNAP3A	47.000000	235	0	0	0	0	0
MOB1B	47.000000	146	0	0	89	0	0
MAGI3	47.000000	139	0	0	96	0	0
KLHL9	47.000000	235	0	0	0	0	0
INKA2	47.000000	235	0	0	0	0	0
HAGH	47.000000	158	0	0	77	0	0
FBXL5	47.000000	235	0	0	0	0	0
FAHD1	47.000000	158	0	0	77	0	0
DLG1	47.000000	235	0	0	0	0	0
DDX20	47.000000	235	0	0	0	0	0
BIRC3	47.000000	134	0	0	101	0	0
ZNF770	46.800000	234	0	0	0	0	0
ZBTB40	46.800000	234	0	0	0	0	0
UTP15	46.800000	234	0	0	0	0	0
SLC25A40	46.800000	142	0	0	92	0	0
RPS3A	46.800000	234	0	0	0	0	0
RPLP1	46.800000	234	0	0	0	0	0
KCTD18	46.800000	160	0	0	74	0	0
DNAJC3	46.800000	234	0	0	0	0	0
DNAJC10	46.800000	155	0	0	79	0	0
DHDDS	46.800000	109	0	0	125	0	0
DDAH1	46.800000	145	0	0	89	0	0
DBF4	46.800000	142	0	0	92	0	0
COIL	46.800000	118	0	0	116	0	0
C15orf40	46.800000	234	0	0	0	0	0
ANKRA2	46.800000	234	0	0	0	0	0
ZNF805	46.600000	141	0	0	92	0	0
ZBTB37	46.600000	233	0	0	0	0	0
SETD9	46.600000	233	0	0	0	0	0
SETD4	46.600000	116	0	0	117	0	0
SDHAF2	46.600000	135	0	0	0	98	0
RAD21	46.600000	157	0	0	76	0	0
PHF3	46.600000	132	0	0	101	0	0
MAPK8	46.600000	154	0	0	79	0	0
HNRNPC	46.600000	233	0	0	0	0	0
GCDH	46.600000	146	0	0	87	0	0
EFHD1	46.600000	233	0	0	0	0	0
CYP4V2	46.600000	125	0	0	108	0	0
CPSF7	46.600000	135	0	0	0	98	0
CEP57L1	46.600000	233	0	0	0	0	0
AHI1	46.600000	233	0	0	0	0	0
SYT14	46.400000	133	0	0	99	0	0
SGO2	46.400000	148	0	0	84	0	0
RBM25	46.400000	170	0	0	62	0	0
MRPL3	46.400000	232	0	0	0	0	0
IFT74	46.400000	232	0	0	0	0	0
CLNS1A	46.400000	153	0	0	0	79	0
ARL1	46.400000	127	0	0	105	0	0
ZNF56	46.200000	231	0	0	0	0	0
UBE3A	46.200000	147	0	0	84	0	0
TRIM68	46.200000	231	0	0	0	0	0
SEMA3A	46.200000	0	0	0	231	0	0
RBM19	46.200000	231	0	0	0	0	0
HSPA5	46.200000	231	0	0	0	0	0
FBXW7	46.200000	113	0	0	118	0	0
FBXO42	46.200000	231	0	0	0	0	0
DDX46	46.200000	231	0	0	0	0	0
CCDC91	46.200000	132	0	0	99	0	0
UBLCP1	46.000000	230	0	0	0	0	0
SPATA1	46.000000	230	0	0	0	0	0
SERINC3	46.000000	230	0	0	0	0	0
SDR39U1	46.000000	230	0	0	0	0	0
NR2C1	46.000000	136	0	0	94	0	0
MON2	46.000000	149	0	0	81	0	0
MMUT	46.000000	166	0	0	64	0	0
MECOM	46.000000	230	0	0	0	0	0
MAP4K5	46.000000	230	0	0	0	0	0
LMAN1	46.000000	230	0	0	0	0	0
KDSR	46.000000	230	0	0	0	0	0
KATNBL1	46.000000	230	0	0	0	0	0
GNG5	46.000000	230	0	0	0	0	0
FKBP7	46.000000	110	0	0	0	120	0
EMC4	46.000000	119	0	0	111	0	0
DCAF6	46.000000	136	0	0	94	0	0
CENPQ	46.000000	166	0	0	64	0	0
CCDC43	46.000000	135	0	0	95	0	0
ZKSCAN4	45.800000	113	0	0	116	0	0
RPL11	45.800000	229	0	0	0	0	0
PTCD2	45.800000	229	0	0	0	0	0
NPHP1	45.800000	123	0	0	106	0	0
MRPS27	45.800000	229	0	0	0	0	0
METTL7A	45.800000	148	0	0	81	0	0
LDB2	45.800000	108	0	0	121	0	0
GHR	45.800000	229	0	0	0	0	0
FAM126A	45.800000	229	0	0	0	0	0
DHRS4	45.800000	229	0	0	0	0	0
DENND6A	45.800000	229	0	0	0	0	0
CWC22	45.800000	229	0	0	0	0	0
CCN1	45.800000	134	0	0	0	95	0
CCDC28A	45.800000	229	0	0	0	0	0
ATP1B3	45.800000	148	0	0	81	0	0
ARHGAP5	45.800000	112	0	0	117	0	0
ACTR3	45.800000	229	0	0	0	0	0
WDR74	45.600000	228	0	0	0	0	0
TRPM3	45.600000	228	0	0	0	0	0
SUB1	45.600000	126	0	0	102	0	0
SIPA1L1	45.600000	228	0	0	0	0	0
RSF1	45.600000	146	0	0	82	0	0
RDX	45.600000	140	0	0	88	0	0
RAP1A	45.600000	228	0	0	0	0	0
PRPF18	45.600000	141	0	0	87	0	0
PICALM	45.600000	141	0	0	87	0	0
PIAS1	45.600000	228	0	0	0	0	0
PABPC1	45.600000	228	0	0	0	0	0
MCM3	45.600000	147	0	0	81	0	0
IMP4	45.600000	126	0	0	102	0	0
ICA1L	45.600000	144	0	0	84	0	0
GCA	45.600000	228	0	0	0	0	0
FNBP1	45.600000	105	0	0	123	0	0
DHX36	45.600000	228	0	0	0	0	0
CCDC115	45.600000	126	0	0	102	0	0
BTBD10	45.600000	136	0	0	92	0	0
ATE1	45.600000	117	0	0	111	0	0
ZNF829	45.400000	0	0	0	136	91	0
ZNF706	45.400000	227	0	0	0	0	0
ZNF568	45.400000	0	0	0	136	91	0
ZNF562	45.400000	145	0	0	82	0	0
TOR2A	45.400000	117	0	0	110	0	0
THAP5	45.400000	227	0	0	0	0	0
SCYL2	45.400000	129	0	0	98	0	0
PPP2R5C	45.400000	227	0	0	0	0	0
MED21	45.400000	227	0	0	0	0	0
IL1RL1	45.400000	227	0	0	0	0	0
HUS1	45.400000	121	0	0	106	0	0
DNAJB9	45.400000	227	0	0	0	0	0
DEPDC4	45.400000	129	0	0	98	0	0
AP3B1	45.400000	145	0	0	82	0	0
ZW10	45.200000	226	0	0	0	0	0
ZBED8	45.200000	143	0	0	83	0	0
ZAR1L	45.200000	133	0	0	93	0	0
XKR9	45.200000	226	0	0	0	0	0
TMEM87A	45.200000	226	0	0	0	0	0
SIAH2	45.200000	226	0	0	0	0	0
SENP2	45.200000	226	0	0	0	0	0
PRPF40A	45.200000	141	0	0	85	0	0
NLGN1	45.200000	226	0	0	0	0	0
LACTB2	45.200000	226	0	0	0	0	0
IFI27L1	45.200000	226	0	0	0	0	0
GANC	45.200000	226	0	0	0	0	0
DDX24	45.200000	226	0	0	0	0	0
BRCA2	45.200000	133	0	0	93	0	0
ABCB10	45.200000	130	0	0	96	0	0
TRPC1	45.000000	225	0	0	0	0	0
TMEM45A	45.000000	150	0	0	75	0	0
RBM27	45.000000	129	0	0	0	96	0
PRPF38A	45.000000	225	0	0	0	0	0
PIP4P2	45.000000	225	0	0	0	0	0
ORC1	45.000000	225	0	0	0	0	0
NEDD1	45.000000	127	0	0	98	0	0
LINS1	45.000000	225	0	0	0	0	0
GCN1	45.000000	148	0	0	77	0	0
FAM168A	45.000000	150	0	0	75	0	0
DDX18	45.000000	225	0	0	0	0	0
CHORDC1	45.000000	225	0	0	0	0	0
CHEK1	45.000000	126	0	0	99	0	0
CETN3	45.000000	225	0	0	0	0	0
CENPE	45.000000	225	0	0	0	0	0
ASB7	45.000000	225	0	0	0	0	0
ARL6	45.000000	225	0	0	0	0	0
ANO6	45.000000	136	0	0	89	0	0
ZBTB26	44.800000	224	0	0	0	0	0
YBX1	44.800000	224	0	0	0	0	0
SYT1	44.800000	132	0	0	92	0	0
SSNA1	44.800000	146	0	0	78	0	0
SPPL2A	44.800000	118	0	0	106	0	0
SLC40A1	44.800000	135	0	0	89	0	0
SH2B1	44.800000	224	0	0	0	0	0
RFC1	44.800000	146	0	0	78	0	0
RARB	44.800000	224	0	0	0	0	0
OSGIN1	44.800000	224	0	0	0	0	0
MFF	44.800000	138	0	0	0	86	0
JAM3	44.800000	125	0	0	99	0	0
IL1RAP	44.800000	163	0	0	61	0	0
H4C1	44.800000	224	0	0	0	0	0
H3C1	44.800000	224	0	0	0	0	0
ANAPC2	44.800000	146	0	0	78	0	0
ADRB2	44.800000	224	0	0	0	0	0
ZNF644	44.600000	140	0	0	83	0	0
RPS26	44.600000	223	0	0	0	0	0
MRPS31	44.600000	139	0	0	84	0	0
GLUL	44.600000	223	0	0	0	0	0
FAM53C	44.600000	124	0	0	0	99	0
CDC25C	44.600000	124	0	0	0	99	0
CAVIN2	44.600000	223	0	0	0	0	0
ARIH1	44.600000	223	0	0	0	0	0
ARHGAP29	44.600000	223	0	0	0	0	0
ZNFX1	44.400000	222	0	0	0	0	0
ZNF718	44.400000	149	0	0	73	0	0
SUCO	44.400000	222	0	0	0	0	0
SNX19	44.400000	139	0	0	83	0	0
SMPD3	44.400000	222	0	0	0	0	0
RRP36	44.400000	76	0	0	146	0	0
MTRF1	44.400000	222	0	0	0	0	0
MRE11	44.400000	222	0	0	0	0	0
MICU2	44.400000	222	0	0	0	0	0
MEIG1	44.400000	222	0	0	0	0	0
IDH1	44.400000	222	0	0	0	0	0
EXOC6B	44.400000	222	0	0	0	0	0
CISD2	44.400000	222	0	0	0	0	0
ANKRD49	44.400000	222	0	0	0	0	0
AGL	44.400000	140	0	0	82	0	0
ADGRL2	44.400000	222	0	0	0	0	0
YBX3	44.200000	221	0	0	0	0	0
PDCD4	44.200000	221	0	0	0	0	0
NABP1	44.200000	221	0	0	0	0	0
MAP3K5	44.200000	221	0	0	0	0	0
LRRIQ3	44.200000	221	0	0	0	0	0
LARS2	44.200000	147	0	0	74	0	0
KBTBD8	44.200000	122	0	0	99	0	0
FPGT-TNNI3K	44.200000	221	0	0	0	0	0
FPGT	44.200000	221	0	0	0	0	0
DYNC2H1	44.200000	126	0	0	95	0	0
CPED1	44.200000	221	0	0	0	0	0
CDK5RAP2	44.200000	221	0	0	0	0	0
CD55	44.200000	221	0	0	0	0	0
TACC2	44.000000	220	0	0	0	0	0
SPART	44.000000	220	0	0	0	0	0
RPS20	44.000000	220	0	0	0	0	0
PANK1	44.000000	131	0	0	0	89	0
MTMR3	44.000000	124	0	0	0	96	0
MRPS23	44.000000	220	0	0	0	0	0
INTS10	44.000000	220	0	0	0	0	0
GNL2	44.000000	220	0	0	0	0	0
CTU1	44.000000	105	0	0	115	0	0
ARNTL	44.000000	111	0	0	109	0	0
ZNF527	43.800000	133	0	0	86	0	0
ZNF302	43.800000	219	0	0	0	0	0
SNX5	43.800000	219	0	0	0	0	0
SHLD2	43.800000	108	0	0	111	0	0
SENP7	43.800000	101	0	0	118	0	0
RPL31	43.800000	219	0	0	0	0	0
POU2F1	43.800000	219	0	0	0	0	0
PAIP2	43.800000	219	0	0	0	0	0
MGME1	43.800000	219	0	0	0	0	0
H2AZ1	43.800000	219	0	0	0	0	0
GYG1	43.800000	118	0	0	101	0	0
GLUD1	43.800000	108	0	0	111	0	0
EXO1	43.800000	219	0	0	0	0	0
CDK7	43.800000	138	0	0	81	0	0
ZNF331	43.600000	119	0	0	99	0	0
XRCC4	43.600000	218	0	0	0	0	0
VAPA	43.600000	132	0	0	86	0	0
UBE3B	43.600000	137	0	0	0	81	0
TMEM167A	43.600000	218	0	0	0	0	0
STT3A	43.600000	140	0	0	78	0	0
STK3	43.600000	218	0	0	0	0	0
SRP9	43.600000	218	0	0	0	0	0
RNF34	43.600000	218	0	0	0	0	0
REPS1	43.600000	218	0	0	0	0	0
NUDT17	43.600000	218	0	0	0	0	0
NPHP3	43.600000	218	0	0	0	0	0
KIFBP	43.600000	218	0	0	0	0	0
DYNLRB2	43.600000	218	0	0	0	0	0
DYNC1LI1	43.600000	154	0	0	64	0	0
DNAJC9	43.600000	218	0	0	0	0	0
DNAI4	43.600000	130	0	0	88	0	0
CTSO	43.600000	218	0	0	0	0	0
CRLF3	43.600000	122	0	0	96	0	0
ARL6IP6	43.600000	141	0	0	77	0	0
AAMDC	43.600000	136	0	0	82	0	0
TBC1D31	43.400000	217	0	0	0	0	0
STRIP1	43.400000	217	0	0	0	0	0
RPL36AL	43.400000	217	0	0	0	0	0
RLF	43.400000	217	0	0	0	0	0
RCBTB2	43.400000	217	0	0	0	0	0
OSBPL6	43.400000	139	0	0	78	0	0
MGAT2	43.400000	217	0	0	0	0	0
FOXP1	43.400000	217	0	0	0	0	0
FOXN3	43.400000	217	0	0	0	0	0
ELK4	43.400000	138	0	0	79	0	0
CEP20	43.400000	217	0	0	0	0	0
ZNF639	43.200000	130	0	0	86	0	0
ZNF571	43.200000	129	0	0	87	0	0
ZNF540	43.200000	129	0	0	87	0	0
TXNDC17	43.200000	216	0	0	0	0	0
SNX27	43.200000	216	0	0	0	0	0
SLC10A7	43.200000	216	0	0	0	0	0
RELL1	43.200000	122	0	0	94	0	0
RAD52	43.200000	216	0	0	0	0	0
QRICH1	43.200000	109	0	0	107	0	0
POLK	43.200000	121	0	0	95	0	0
PLGRKT	43.200000	216	0	0	0	0	0
PIGM	43.200000	129	0	0	87	0	0
MPDZ	43.200000	216	0	0	0	0	0
LIN7C	43.200000	216	0	0	0	0	0
LANCL2	43.200000	216	0	0	0	0	0
KIAA0753	43.200000	216	0	0	0	0	0
GABPB1	43.200000	216	0	0	0	0	0
FXR1	43.200000	216	0	0	0	0	0
FAM8A1	43.200000	127	0	0	89	0	0
DPY19L1	43.200000	216	0	0	0	0	0
CLTA	43.200000	216	0	0	0	0	0
CKAP2L	43.200000	216	0	0	0	0	0
CERT1	43.200000	121	0	0	95	0	0
CDK17	43.200000	146	0	0	70	0	0
BUB1B	43.200000	216	0	0	0	0	0
ALG10	43.200000	216	0	0	0	0	0
ZNF92	43.000000	215	0	0	0	0	0
USP54	43.000000	142	0	0	73	0	0
TSC22D1	43.000000	215	0	0	0	0	0
TES	43.000000	215	0	0	0	0	0
SEC61G	43.000000	143	0	0	72	0	0
RUVBL1	43.000000	215	0	0	0	0	0
PURA	43.000000	215	0	0	0	0	0
PUM1	43.000000	215	0	0	0	0	0
PIK3C3	43.000000	129	0	0	86	0	0
PIGX	43.000000	128	0	0	87	0	0
MTMR12	43.000000	105	0	0	110	0	0
MGRN1	43.000000	133	0	0	82	0	0
IL6ST	43.000000	215	0	0	0	0	0
GLIPR1L1	43.000000	121	0	0	94	0	0
EEFSEC	43.000000	215	0	0	0	0	0
CTTN	43.000000	215	0	0	0	0	0
COX20	43.000000	141	0	0	74	0	0
CKS2	43.000000	215	0	0	0	0	0
CEP19	43.000000	128	0	0	87	0	0
ARHGAP24	43.000000	122	0	0	93	0	0
ACBD6	43.000000	136	0	0	0	79	0
ZNF34	42.800000	133	0	0	81	0	0
SUPT16H	42.800000	214	0	0	0	0	0
RFC3	42.800000	214	0	0	0	0	0
PROX1	42.800000	115	0	0	99	0	0
PARP1	42.800000	214	0	0	0	0	0
PAPOLA	42.800000	132	0	0	82	0	0
NFKBIZ	42.800000	214	0	0	0	0	0
METTL9	42.800000	214	0	0	0	0	0
LRRC37A3	42.800000	130	0	0	84	0	0
L3MBTL3	42.800000	214	0	0	0	0	0
INTS8	42.800000	214	0	0	0	0	0
IDE	42.800000	134	0	0	80	0	0
HSPA8	42.800000	214	0	0	0	0	0
HMGN4	42.800000	214	0	0	0	0	0
GART	42.800000	136	0	0	78	0	0
DMRTA1	42.800000	214	0	0	0	0	0
BRIP1	42.800000	214	0	0	0	0	0
ZKSCAN8	42.600000	213	0	0	0	0	0
UBQLN1	42.600000	213	0	0	0	0	0
STX12	42.600000	213	0	0	0	0	0
SCO1	42.600000	213	0	0	0	0	0
RTTN	42.600000	213	0	0	0	0	0
RTF2	42.600000	213	0	0	0	0	0
PARVA	42.600000	213	0	0	0	0	0
MED7	42.600000	130	0	0	83	0	0
FCHO2	42.600000	127	0	0	86	0	0
ETNK1	42.600000	213	0	0	0	0	0
ENTPD5	42.600000	146	0	0	67	0	0
BBOF1	42.600000	146	0	0	67	0	0
ADPRM	42.600000	213	0	0	0	0	0
ADNP	42.600000	213	0	0	0	0	0
ZFP82	42.400000	97	0	0	115	0	0
ZFAND1	42.400000	117	0	0	95	0	0
